TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
BBVA,5,8,18348,18333,1.0,608.0,0.002541,0.001521,-0.008491,-0.003791,2000-06-19,2003-04-25,1040,195,187,0.6224781423549092,0.0
BBVA,5,89,18348,6873,1.0,707.0,0.002541,0.013712,-0.008491,0.001709,2000-06-19,2003-04-25,1040,195,43,0.014587399658261809,0.0
BBVA,6,13,18344,18317,823.0,1.0,0.0029690000000000003,0.00524,0.002124,-0.0006230000000000001,2000-01-24,2003-06-12,1235,46,192,0.016661023172681266,0.0
BBVA,8,42,18333,15950,608.0,742.0,0.001521,0.0137,-0.003791,0.000263,2000-10-27,2005-07-26,1733,171,105,0.010855462796456907,0.0
BBVA,8,56,18333,14478,608.0,,0.001521,0.004025,-0.003791,-0.002139,2000-08-04,2005-12-14,1958,185,44,0.007387705190707261,0.0
BBVA,8,79,18333,10252,608.0,671.0,0.001521,0.0069310000000000005,-0.003791,-0.003179,2001-07-25,2005-12-14,1603,95,72,0.010622361536905494,0.0
BBVA,8,91,18333,6429,608.0,570.0,0.001521,0.016832,-0.003791,-0.001892,2000-06-07,2004-02-06,1339,188,82,0.011158509383194027,0.0
BBVA,8,106,18333,2955,608.0,798.0,0.001521,0.001384,-0.003791,-0.001299,2000-06-07,2005-12-14,2016,191,260,0.010077188542689372,0.0
BBVA,10,21,18327,18169,1.0,1611.0,0.004071,0.05778,0.001271,-0.005027,2004-09-13,2007-09-17,1099,31,134,0.015910952927385227,0.0
BBVA,10,111,18327,1312,1.0,,0.004071,0.01605,0.001271,-0.001457,2005-01-12,2007-08-17,947,25,21,0.012452561154717004,0.0
BBVA,11,13,18322,18317,1.0,1.0,0.0055,0.00524,-0.005604,-0.0006230000000000001,2000-01-07,2003-06-12,1252,290,201,0.036212190568487616,0.0
BBVA,11,104,18322,2968,1.0,798.0,0.0055,0.0008699999999999999,-0.005604,-0.003136,2000-01-24,2007-09-06,2782,521,82,0.0,0.010301930200737476
BBVA,12,13,18321,18317,1.0,1.0,0.016535,0.00524,-0.014871,-0.0006230000000000001,2000-01-07,2003-06-12,1252,439,201,0.013143655106475857,0.0
BBVA,12,105,18321,2963,1.0,1.0,0.016535,0.030035000000000006,-0.014871,-0.004837,2000-02-07,2003-09-23,1324,429,234,0.013765683491368674,0.0
BBVA,13,19,18317,18195,1.0,2008.0,0.00524,0.012376,-0.0006230000000000001,-0.004332,2000-01-11,2003-06-12,1248,200,69,0.02726299549070854,0.02065035820876224
BBVA,13,56,18317,14478,1.0,,0.00524,0.004025,-0.0006230000000000001,-0.002139,2000-08-04,2003-06-12,1042,96,44,0.024372577896667243,0.0
BBVA,14,19,18246,18195,1.0,2008.0,0.002886,0.012376,0.000308,-0.004332,2000-01-18,2003-11-07,1389,40,69,0.01051093482757901,0.0
BBVA,14,104,18246,2968,1.0,798.0,0.002886,0.0008699999999999999,0.000308,-0.003136,2000-01-24,2007-02-19,2583,53,73,0.00456413271969126,0.0
BBVA,15,16,18233,18232,,2002.0,0.006008,0.008536,0.0024460000000000003,0.002539,2003-11-10,2007-04-19,1256,27,39,0.01981492390212984,0.0
BBVA,15,17,18233,18228,,,0.006008,0.004765999999999999,0.0024460000000000003,0.001215,2003-11-10,2006-06-20,953,24,38,0.05844944195212711,0.0
BBVA,16,104,18232,2968,2002.0,798.0,0.008536,0.0008699999999999999,0.002539,-0.003136,2002-05-29,2007-04-19,1786,64,34,0.0,-0.011455503474830774
BBVA,19,56,18195,14478,2008.0,,0.012376,0.004025,-0.004332,-0.002139,2000-08-04,2003-11-07,1190,33,44,0.014114570682134606,0.0
BBVA,20,24,18178,18157,783.0,300000.0,0.0041340000000000005,0.000698,-0.005754,0.000583,2003-03-17,2007-07-02,1568,91,60,0.07013725385351767,0.0
BBVA,20,25,18178,18156,783.0,300000.0,0.0041340000000000005,0.001559,-0.005754,-0.001351,2003-03-17,2007-09-26,1654,92,84,0.169420574992523,0.0
BBVA,20,26,18178,18146,783.0,1.0,0.0041340000000000005,0.004401,-0.005754,-0.007515999999999998,2000-01-05,2007-09-26,2821,142,103,0.11128672058162244,0.0
BBVA,20,27,18178,18145,783.0,1.0,0.0041340000000000005,0.004444,-0.005754,-0.0074870000000000015,2000-01-05,2007-09-26,2821,142,106,0.10740041515525207,0.0
BBVA,20,28,18178,18144,783.0,1.0,0.0041340000000000005,0.004222,-0.005754,-0.006695,2000-01-05,2007-09-26,2821,142,107,0.10924984456938436,0.0
BBVA,20,67,18178,10795,783.0,300000.0,0.0041340000000000005,0.003828,-0.005754,-0.002729,2003-02-27,2005-11-02,979,67,62,0.1905843584303745,0.0
BBVA,20,94,18178,5132,783.0,1.0,0.0041340000000000005,0.003771,-0.005754,-0.001844,2000-01-05,2005-12-20,2176,121,128,0.20292657278367868,0.0
BBVA,21,22,18169,18159,1611.0,1658.0,0.05778,0.053898,-0.005027,-0.005939,2004-09-13,2007-09-17,1099,134,191,0.052594762628242565,0.0
BBVA,21,26,18169,18146,1611.0,1.0,0.05778,0.004401,-0.005027,-0.007515999999999998,2004-09-13,2007-09-17,1099,134,33,0.013360526643101686,0.0
BBVA,21,27,18169,18145,1611.0,1.0,0.05778,0.004444,-0.005027,-0.0074870000000000015,2004-09-13,2007-09-17,1099,134,33,0.013360526643101686,0.0
