TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
BBVA,1,15,18427,18233,2053.0,,0.003318,0.006008,-0.002636,0.0024460000000000003,2003-11-10,2007-08-29,1388,38,27,0.0,-0.007886339996254618
BBVA,1,17,18427,18228,2053.0,,0.003318,0.004765999999999999,-0.002636,0.001215,2000-12-29,2006-06-20,1999,24,39,0.0045285128948227725,0.0
BBVA,1,63,18427,11421,2053.0,,0.003318,0.0142,-0.002636,0.000117,2004-06-22,2007-08-29,1163,38,43,0.007887963429147951,0.0
BBVA,1,81,18427,9191,2053.0,349.0,0.003318,0.018564,-0.002636,-0.00732,2000-02-14,2007-02-27,2570,41,76,0.0,-0.005073446679494527
BBVA,5,8,18348,18333,1.0,608.0,0.002541,0.001521,-0.008491,-0.003791,2000-06-19,2003-04-25,1040,195,187,0.6224781423549092,0.0
BBVA,5,37,18348,16836,1.0,,0.002541,0.020952,-0.008491,-0.013544999999999998,2001-04-05,2003-04-25,750,127,31,0.015274759121110584,0.0
BBVA,5,84,18348,8684,1.0,708.0,0.002541,0.031173000000000006,-0.008491,-0.009003,2000-06-27,2003-04-25,1032,194,55,0.012997115942647042,0.0
BBVA,5,86,18348,7954,1.0,523.0,0.002541,0.012841,-0.008491,0.001675,2000-06-19,2003-04-25,1040,195,24,0.009866568888849608,0.0
BBVA,5,89,18348,6873,1.0,707.0,0.002541,0.013712,-0.008491,0.001709,2000-06-19,2003-04-25,1040,195,43,0.014587399658261809,0.0
BBVA,5,90,18348,6764,1.0,707.0,0.002541,0.014103,-0.008491,0.003799,2000-06-19,2003-04-25,1040,195,36,0.010969107213174921,0.0
BBVA,6,9,18344,18332,823.0,1.0,0.0029690000000000003,0.003909,0.002124,-0.056479,2000-01-24,2000-12-07,318,33,63,0.031926037701988284,0.0
BBVA,6,13,18344,18317,823.0,1.0,0.0029690000000000003,0.00524,0.002124,-0.0006230000000000001,2000-01-24,2003-06-12,1235,46,192,0.016661023172681266,-0.0156618294286925
BBVA,6,14,18344,18246,823.0,1.0,0.0029690000000000003,0.002886,0.002124,0.000308,2000-01-24,2003-09-26,1341,52,40,0.006533605037071908,0.0
BBVA,6,19,18344,18195,823.0,2008.0,0.0029690000000000003,0.012376,0.002124,-0.004332,2000-01-24,2003-09-26,1341,52,64,0.00788852656940144,0.0
BBVA,6,86,18344,7954,823.0,523.0,0.0029690000000000003,0.012841,0.002124,0.001675,2000-01-26,2003-09-26,1339,52,45,0.005951346245362547,0.0
BBVA,6,105,18344,2963,823.0,1.0,0.0029690000000000003,0.030035000000000006,0.002124,-0.004837,2000-02-07,2003-09-26,1327,52,235,0.007695038165593497,0.0
BBVA,8,37,18333,16836,608.0,,0.001521,0.020952,-0.003791,-0.013544999999999998,2001-04-05,2003-05-15,770,127,33,0.013880329837421244,0.0
BBVA,8,39,18333,16433,608.0,,0.001521,0.0066,-0.003791,-0.001933,2001-07-05,2005-12-14,1623,102,34,0.006354509594519209,0.0
BBVA,8,42,18333,15950,608.0,742.0,0.001521,0.0137,-0.003791,0.000263,2000-10-27,2005-07-26,1733,171,105,0.010855462796456907,0.0
BBVA,8,56,18333,14478,608.0,,0.001521,0.004025,-0.003791,-0.002139,2000-08-04,2005-12-14,1958,185,44,0.007387705190707261,0.0
BBVA,8,79,18333,10252,608.0,671.0,0.001521,0.0069310000000000005,-0.003791,-0.003179,2001-07-25,2005-12-14,1603,95,72,0.010622361536905494,0.0
BBVA,8,82,18333,9176,608.0,501.0,0.001521,0.014493,-0.003791,-0.003899,2000-06-07,2005-12-14,2016,191,77,0.005085058220217335,0.0
BBVA,8,84,18333,8684,608.0,708.0,0.001521,0.031173000000000006,-0.003791,-0.009003,2000-06-27,2005-06-13,1812,189,96,0.006767906978689566,0.0
BBVA,8,86,18333,7954,608.0,523.0,0.001521,0.012841,-0.003791,0.001675,2000-06-07,2005-12-14,2016,191,61,0.006030543542185865,0.0
BBVA,8,89,18333,6873,608.0,707.0,0.001521,0.013712,-0.003791,0.001709,2000-06-07,2005-12-09,2011,190,75,0.005240047061885751,0.0
BBVA,8,90,18333,6764,608.0,707.0,0.001521,0.014103,-0.003791,0.003799,2000-06-07,2004-03-30,1392,189,64,0.010363866887836248,0.0
BBVA,8,91,18333,6429,608.0,570.0,0.001521,0.016832,-0.003791,-0.001892,2000-06-07,2004-02-06,1339,188,82,0.011158509383194027,0.0
BBVA,8,106,18333,2955,608.0,798.0,0.001521,0.001384,-0.003791,-0.001299,2000-06-07,2005-12-14,2016,191,260,0.010077188542689372,0.0
BBVA,9,11,18332,18322,1.0,1.0,0.003909,0.0055,-0.056479,-0.005604,2000-01-04,2000-12-07,338,69,127,0.0393041646857356,0.0
BBVA,9,13,18332,18317,1.0,1.0,0.003909,0.00524,-0.056479,-0.0006230000000000001,2000-01-07,2000-12-07,335,69,159,0.03559206230366168,0.0
BBVA,9,104,18332,2968,1.0,798.0,0.003909,0.0008699999999999999,-0.056479,-0.003136,2000-01-24,2000-12-07,318,63,28,0.03441284260462312,0.0
BBVA,10,14,18327,18246,1.0,1.0,0.004071,0.002886,0.001271,0.000308,2000-02-22,2007-02-19,2554,109,46,0.0032760083219953323,0.0
BBVA,10,21,18327,18169,1.0,1611.0,0.004071,0.05778,0.001271,-0.005027,2004-09-13,2007-09-17,1099,31,134,0.015910952927385227,0.0
BBVA,10,82,18327,9176,1.0,501.0,0.004071,0.014493,0.001271,-0.003899,2000-06-02,2007-09-03,2649,110,145,0.003843324783332262,0.0
BBVA,10,83,18327,9099,1.0,1.0,0.004071,0.01985,0.001271,0.009733,2002-01-14,2004-10-26,1016,56,72,0.0,-0.023146527349731515
BBVA,10,88,18327,6914,1.0,,0.004071,0.012677,0.001271,0.002773,2000-02-28,2003-10-27,1337,64,35,0.00550595182263145,0.0
BBVA,10,91,18327,6429,1.0,570.0,0.004071,0.016832,0.001271,-0.001892,2000-02-22,2004-02-06,1445,70,82,0.0067992013665376895,0.0
BBVA,10,111,18327,1312,1.0,,0.004071,0.01605,0.001271,-0.001457,2005-01-12,2007-08-17,947,25,21,0.012452561154717004,0.0
BBVA,11,12,18322,18321,1.0,1.0,0.0055,0.016535,-0.005604,-0.014871,2000-01-05,2003-09-23,1357,309,445,0.012884618747858756,0.0
BBVA,11,13,18322,18317,1.0,1.0,0.0055,0.00524,-0.005604,-0.0006230000000000001,2000-01-07,2003-06-12,1252,290,201,0.036212190568487616,-0.023774053877315446
BBVA,11,19,18322,18195,1.0,2008.0,0.0055,0.012376,-0.005604,-0.004332,2000-01-11,2003-11-07,1396,314,71,0.010737309071793296,0.0
BBVA,11,104,18322,2968,1.0,798.0,0.0055,0.0008699999999999999,-0.005604,-0.003136,2000-01-24,2007-09-06,2782,521,82,0.0,0.010301930200737476
BBVA,12,13,18321,18317,1.0,1.0,0.016535,0.00524,-0.014871,-0.0006230000000000001,2000-01-07,2003-06-12,1252,439,201,0.013143655106475857,0.0
BBVA,12,29,18321,18139,1.0,599.0,0.016535,0.004176,-0.014871,-0.003699,2000-10-09,2003-09-23,1079,355,74,0.009315223244937287,0.0
BBVA,12,43,18321,15724,1.0,523.0,0.016535,0.007431,-0.014871,0.004141,2000-04-14,2003-09-23,1257,408,43,0.0,0.014539469104047431
BBVA,12,76,18321,10510,1.0,712.0,0.016535,0.024621,-0.014871,-0.010238,2002-07-01,2003-09-23,449,150,47,0.027305945256131788,0.0
BBVA,12,82,18321,9176,1.0,501.0,0.016535,0.014493,-0.014871,-0.003899,2000-06-02,2003-09-23,1208,393,25,0.010361864733293407,0.0
BBVA,12,96,18321,4110,1.0,596.0,0.016535,0.010689,-0.014871,-0.004821,2000-01-05,2003-09-23,1357,445,62,0.007251915593190791,0.0
BBVA,12,104,18321,2968,1.0,798.0,0.016535,0.0008699999999999999,-0.014871,-0.003136,2000-01-24,2003-09-23,1338,437,63,0.009001288195382972,0.0
BBVA,12,105,18321,2963,1.0,1.0,0.016535,0.030035000000000006,-0.014871,-0.004837,2000-02-07,2003-09-23,1324,429,234,0.013765683491368674,0.0
BBVA,13,14,18317,18246,1.0,1.0,0.00524,0.002886,-0.0006230000000000001,0.000308,2000-01-18,2003-06-12,1241,195,40,0.012991477092383862,0.0
BBVA,13,19,18317,18195,1.0,2008.0,0.00524,0.012376,-0.0006230000000000001,-0.004332,2000-01-11,2003-06-12,1248,200,69,0.02726299549070854,0.02065035820876224
BBVA,13,56,18317,14478,1.0,,0.00524,0.004025,-0.0006230000000000001,-0.002139,2000-08-04,2003-06-12,1042,96,44,0.024372577896667243,0.0
BBVA,13,89,18317,6873,1.0,707.0,0.00524,0.013712,-0.0006230000000000001,0.001709,2000-02-07,2003-06-12,1221,186,47,0.010212156214693352,0.0
BBVA,13,90,18317,6764,1.0,707.0,0.00524,0.014103,-0.0006230000000000001,0.003799,2000-03-03,2003-06-12,1196,171,43,0.010258450856947805,0.0
BBVA,13,105,18317,2963,1.0,1.0,0.00524,0.030035000000000006,-0.0006230000000000001,-0.004837,2000-02-07,2003-06-12,1221,186,220,0.011239086593372322,0.0
BBVA,14,17,18246,18228,1.0,,0.002886,0.004765999999999999,0.000308,0.001215,2000-12-29,2006-06-20,1999,28,39,0.003171804846133597,0.0
BBVA,14,19,18246,18195,1.0,2008.0,0.002886,0.012376,0.000308,-0.004332,2000-01-18,2003-11-07,1389,40,69,0.01051093482757901,0.0
BBVA,14,40,18246,16131,1.0,627.0,0.002886,0.0059960000000000005,0.000308,0.002792,2000-01-18,2004-02-11,1485,41,53,0.006069966337074131,0.0
BBVA,14,81,18246,9191,1.0,349.0,0.002886,0.018564,0.000308,-0.00732,2000-02-14,2007-02-19,2562,47,75,0.0043414516577856286,0.0
BBVA,14,84,18246,8684,1.0,708.0,0.002886,0.031173000000000006,0.000308,-0.009003,2000-06-27,2005-06-13,1812,26,96,0.0,-0.007216097443058044
BBVA,14,92,18246,6198,1.0,349.0,0.002886,0.01021,0.000308,-0.0052450000000000005,2000-02-14,2007-02-19,2562,47,52,0.003809769728281329,0.0
BBVA,14,104,18246,2968,1.0,798.0,0.002886,0.0008699999999999999,0.000308,-0.003136,2000-01-24,2007-02-19,2583,53,73,0.00456413271969126,0.0
BBVA,14,113,18246,704,1.0,,0.002886,0.010027,0.000308,-0.006608,2000-07-12,2004-01-13,1280,22,46,0.0053322355343876976,0.0
BBVA,15,16,18233,18232,,2002.0,0.006008,0.008536,0.0024460000000000003,0.002539,2003-11-10,2007-04-19,1256,27,39,0.01981492390212984,0.0
BBVA,15,17,18233,18228,,,0.006008,0.004765999999999999,0.0024460000000000003,0.001215,2003-11-10,2006-06-20,953,24,38,0.05844944195212711,0.0
BBVA,15,81,18233,9191,,349.0,0.006008,0.018564,0.0024460000000000003,-0.00732,2003-11-10,2007-02-27,1205,26,25,0.006099244491019004,0.0
BBVA,16,17,18232,18228,2002.0,,0.008536,0.004765999999999999,0.002539,0.001215,2002-05-29,2006-06-20,1483,50,38,0.007035493549801105,0.0
BBVA,16,40,18232,16131,2002.0,627.0,0.008536,0.0059960000000000005,0.002539,0.002792,2002-05-29,2004-02-11,623,26,24,0.010279469912597013,0.0
