id_price,date,close,open,max,min,volume
1,2000-01-03,14.18,14.25,14.32,14.15,7920621
2,2000-01-04,13.81,14.0,14.09,13.76,8187553
3,2000-01-05,13.5,13.68,13.75,13.44,11682486
4,2000-01-07,13.67,13.79,13.79,13.53,59817797
5,2000-01-10,13.45,13.82,13.82,13.43,56434447
6,2000-01-11,13.18,13.4,13.42,13.05,6495871
7,2000-01-12,13.03,13.16,13.16,12.9,7942235
8,2000-01-13,12.71,12.95,13.05,12.6,9004736
9,2000-01-14,12.96,12.8,12.99,12.73,8203153
10,2000-01-17,12.84,13.05,13.05,12.81,6557153
11,2000-01-18,12.57,12.81,12.83,12.43,9313984
12,2000-01-19,12.55,12.34,12.55,12.3,12516051
13,2000-01-20,12.53,12.6,12.66,12.41,9087952
14,2000-01-21,12.27,12.43,12.5,12.23,6519750
15,2000-01-24,12.33,12.54,12.54,12.3,5633686
16,2000-01-25,12.6,12.3,12.76,12.28,9059528
17,2000-01-26,12.99,12.8,13.05,12.65,8762752
18,2000-01-27,13.5,13.13,13.65,13.06,13125773
19,2000-01-28,13.45,13.71,13.71,13.1,15487080
20,2000-01-31,13.25,13.46,13.51,13.1,9479045
21,2000-02-01,13.43,13.43,13.54,13.21,8856605
22,2000-02-02,13.39,13.46,13.46,13.19,7348215
23,2000-02-03,13.5,13.42,13.65,13.21,7461607
24,2000-02-04,13.3,13.65,13.65,13.25,10104099
25,2000-02-07,13.05,13.33,13.38,13.02,7815803
26,2000-02-08,13.55,13.04,13.55,12.89,13176145
27,2000-02-09,13.22,13.6,13.6,13.17,8714216
28,2000-02-10,13.02,13.1,13.2,13.0,8074935
29,2000-02-11,14.02,13.04,14.18,12.8,23382939
30,2000-02-14,15.65,15.0,16.84,14.6,57305955
31,2000-02-15,15.25,15.9,15.9,15.19,22186963
32,2000-02-16,15.31,15.3,15.55,15.16,18613957
33,2000-02-17,15.31,15.17,15.45,15.17,9626569
34,2000-02-18,15.33,15.26,15.4,15.12,13231856
35,2000-02-21,15.24,15.0,15.3,15.0,10305705
36,2000-02-22,15.03,15.0,15.2,15.0,14047003
37,2000-02-23,15.44,15.04,15.48,15.03,13779415
38,2000-02-24,15.67,15.5,15.92,15.4,16626655
39,2000-02-25,15.7,15.7,15.88,15.3,9955876
40,2000-02-28,15.35,15.46,15.5,15.18,7165128
41,2000-02-29,15.1,15.43,15.47,15.1,8165012
42,2000-03-01,15.25,15.12,15.29,15.01,8946585
43,2000-03-02,15.19,15.25,15.28,14.9,7299315
44,2000-03-03,15.25,15.25,15.25,14.96,7450806
45,2000-03-06,15.29,15.5,15.7,15.05,11012968
46,2000-03-07,15.28,15.22,15.42,15.11,9391035
47,2000-03-08,15.4,15.19,15.45,15.06,8257525
48,2000-03-09,15.33,15.4,15.4,15.13,8791855
49,2000-03-10,15.03,15.33,15.44,14.93,10710062
50,2000-03-13,14.75,15.21,15.22,14.58,9222155
51,2000-03-14,14.78,14.85,14.85,14.52,6404241
52,2000-03-15,14.53,14.75,14.75,14.53,5253776
53,2000-03-16,15.27,14.76,15.3,14.64,11710463
54,2000-03-17,15.36,15.4,15.49,15.11,8803877
55,2000-03-20,15.24,15.21,15.31,15.07,16175244
56,2000-03-21,15.41,15.18,15.44,15.06,6946561
57,2000-03-22,15.48,15.41,15.53,15.25,11149798
58,2000-03-23,15.37,15.55,15.55,15.15,5400617
59,2000-03-24,15.34,15.37,15.43,15.19,3696998
60,2000-03-27,15.39,15.29,15.46,15.1,4021874
61,2000-03-28,15.41,15.5,15.53,15.33,9998235
62,2000-03-29,15.15,15.4,15.46,14.98,9577004
63,2000-03-30,14.99,15.02,15.15,14.89,9008681
64,2000-03-31,15.36,15.07,15.36,14.86,17638888
65,2000-04-03,15.4,15.12,15.42,15.12,18662144
66,2000-04-04,15.78,15.4,15.8,15.35,13964955
67,2000-04-05,15.65,15.51,15.84,15.22,10918200
68,2000-04-06,15.75,15.68,15.92,15.43,10401376
69,2000-04-07,15.88,15.71,15.99,15.62,9646557
70,2000-04-10,15.9,15.83,15.96,15.71,9926716
71,2000-04-11,15.8,15.63,15.96,15.63,7526747
72,2000-04-12,15.6,15.85,16.0,15.4,11839507
73,2000-04-13,15.78,15.48,15.78,15.4,7971813
74,2000-04-14,15.44,15.66,15.85,15.3,9591889
75,2000-04-17,15.0,14.75,15.19,14.68,15321191
76,2000-04-18,15.01,15.2,15.26,14.91,7375088
77,2000-04-19,15.1,15.08,15.23,14.81,9800778
78,2000-04-20,15.3,15.14,15.39,15.0,5959993
79,2000-04-25,14.95,15.0,15.31,14.9,9138759
80,2000-04-26,14.92,15.0,15.1,14.85,7307788
81,2000-04-27,14.82,14.96,14.98,14.72,11669283
82,2000-04-28,15.0,14.97,15.0,14.85,9122384
83,2000-05-02,15.12,15.0,15.12,14.75,5547655
84,2000-05-03,14.96,15.0,15.1,14.9,5482279
85,2000-05-04,14.66,14.9,14.95,14.57,10096852
86,2000-05-05,14.56,14.65,14.74,14.45,6844989
87,2000-05-08,14.29,14.53,14.62,14.25,7485984
88,2000-05-09,14.18,14.25,14.42,14.12,9375287
89,2000-05-10,14.22,14.23,14.47,14.18,8889901
90,2000-05-11,14.37,14.25,14.49,14.11,6306674
91,2000-05-12,14.29,14.49,14.49,14.16,4930473
92,2000-05-15,14.22,14.32,14.43,14.16,4419374
93,2000-05-16,14.32,14.2,14.4,14.2,6928466
94,2000-05-17,14.45,14.35,14.66,14.22,15780382
95,2000-05-18,14.5,14.44,14.7,14.35,9713162
96,2000-05-19,14.22,14.41,14.44,14.18,8421959
97,2000-05-22,13.84,14.22,14.25,13.84,7440072
98,2000-05-23,14.18,13.84,14.25,13.84,20901086
99,2000-05-24,14.16,13.86,14.17,13.85,23949820
100,2000-05-25,14.76,14.15,14.76,14.15,25849112
101,2000-05-26,15.07,14.57,15.21,14.47,15478804
102,2000-05-29,14.79,14.85,15.02,14.63,6679856
103,2000-05-30,14.86,14.75,15.0,14.71,10676696
