TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
ELE,3,4,18348,18344,1.0,823.0,0.0026030000000000003,0.0008300000000000001,0.001463,-0.007936,2000-06-20,2003-10-01,1198,185,30,0.00865135654066744,0.0
ELE,3,7,18348,18333,1.0,608.0,0.0026030000000000003,0.002066,0.001463,0.001118,2000-06-20,2005-06-24,1830,187,176,0.4067936449355353,0.0
ELE,3,28,18348,16841,1.0,627.0,0.0026030000000000003,0.034968,0.001463,-0.008876,2001-11-12,2004-04-22,892,59,65,0.03965146812840208,0.0
ELE,3,30,18348,15950,1.0,742.0,0.0026030000000000003,0.008341,0.001463,-0.002555,2000-09-26,2005-06-24,1732,172,83,0.008709389739610444,0.0
ELE,3,42,18348,14478,1.0,1.0,0.0026030000000000003,0.00447,0.001463,0.00031800000000000003,2000-06-20,2005-06-24,1830,187,86,0.025656918002149167,0.0
ELE,3,65,18348,9185,1.0,349.0,0.0026030000000000003,0.040964,0.001463,-0.011299,2000-10-18,2005-06-24,1710,168,136,0.0,-0.013554213205197565
ELE,3,69,18348,7842,1.0,714.0,0.0026030000000000003,0.007479,0.001463,-0.002933,2000-06-20,2004-04-07,1387,185,47,0.01141577695138495,0.014984202629003228
ELE,3,70,18348,6429,1.0,570.0,0.0026030000000000003,0.017889,0.001463,-0.006064,2001-01-24,2004-04-02,1164,153,52,0.01310743036043333,0.0
ELE,3,83,18348,2955,1.0,798.0,0.0026030000000000003,0.005715,0.001463,-0.00618,2000-06-20,2005-06-24,1830,187,281,0.02009986592377032,0.0
ELE,4,7,18344,18333,823.0,608.0,0.0008300000000000001,0.002066,-0.007936,0.001118,2000-02-22,2003-10-01,1317,68,174,0.015288302897318659,0.0
ELE,4,10,18344,18322,823.0,1.0,0.0008300000000000001,0.0012929999999999999,-0.007936,-0.0052439999999999995,2000-02-02,2003-10-01,1337,71,205,0.014480420534895025,0.0
ELE,4,12,18344,18317,823.0,1.0,0.0008300000000000001,0.0051340000000000005,-0.007936,-0.008831,2000-02-02,2003-03-07,1129,51,143,0.05353198131672175,0.0
ELE,4,18,18344,18195,823.0,2008.0,0.0008300000000000001,0.0132,-0.007936,-0.0018629999999999999,2000-02-02,2003-10-01,1337,71,72,0.009321905565801652,0.0
ELE,4,82,18344,2963,823.0,1.0,0.0008300000000000001,0.043268,-0.007936,-0.001568,2000-02-24,2003-10-01,1315,68,223,0.010926597031030605,0.0
ELE,5,6,18336,18335,1653.0,1616.0,0.01241,0.007582999999999999,-0.003669,0.005043,2004-09-02,2007-10-08,1131,63,95,0.01429281221202654,0.0
ELE,5,20,18336,18169,1653.0,1611.0,0.01241,0.035074,-0.003669,0.007314,2004-11-25,2007-10-08,1047,56,81,0.015770790353540374,0.0267807279611484
ELE,5,21,18336,18159,1653.0,1658.0,0.01241,0.038394,-0.003669,0.0043159999999999995,2004-08-26,2007-10-08,1138,65,137,0.02214999504511383,0.0
