id_price,date,close,open,max,min,volume
1,2000-01-03,19.01,19.7,19.75,18.88,3615680
2,2000-01-04,18.5,18.88,18.88,18.2,4048543
3,2000-01-05,18.64,18.2,18.68,18.13,4688995
4,2000-01-07,19.31,18.9,19.35,18.86,4027102
5,2000-01-10,19.31,19.55,19.55,19.06,2533020
6,2000-01-11,19.4,19.38,19.4,19.08,3859573
7,2000-01-12,19.32,19.4,19.4,19.15,4146516
8,2000-01-13,19.03,19.39,19.39,18.75,3442513
9,2000-01-14,18.74,18.97,19.38,18.74,4674502
10,2000-01-17,18.25,18.65,18.74,18.1,3756182
11,2000-01-18,18.0,18.15,18.23,17.8,3763779
12,2000-01-19,18.05,17.8,18.05,17.7,3046315
13,2000-01-20,18.75,18.07,18.75,18.07,4169688
14,2000-01-21,19.21,18.8,19.55,18.76,7178988
15,2000-01-24,18.93,19.5,19.68,18.83,4062289
16,2000-01-25,18.66,18.83,18.92,18.53,4089443
17,2000-01-26,19.04,18.66,19.23,18.65,2978839
18,2000-01-27,19.4,19.09,19.49,19.06,4886541
19,2000-01-28,18.69,19.72,19.74,18.4,6141874
20,2000-01-31,18.91,18.55,19.1,18.53,4066169
21,2000-02-01,18.61,19.1,19.15,18.55,4176367
22,2000-02-02,19.15,18.79,19.2,18.32,4920043
23,2000-02-03,19.55,19.15,19.71,18.9,5761768
24,2000-02-04,19.3,19.74,19.74,19.3,3551328
25,2000-02-07,19.12,19.1,19.33,19.04,2594220
26,2000-02-08,19.41,19.0,19.54,18.86,5134419
27,2000-02-09,19.2,19.6,19.73,18.81,4888518
28,2000-02-10,19.34,18.86,19.4,18.86,2962044
29,2000-02-11,19.0,19.0,19.17,18.65,4836806
30,2000-02-14,18.58,18.61,18.78,18.3,5023575
31,2000-02-15,18.7,18.55,18.74,18.36,3166774
32,2000-02-16,19.11,18.75,19.2,18.49,5100939
33,2000-02-17,19.12,18.95,19.4,18.9,4255828
34,2000-02-18,19.16,19.01,19.25,18.93,4207234
35,2000-02-21,19.78,19.39,19.8,19.31,7974487
36,2000-02-22,20.57,19.75,20.74,19.62,12956834
37,2000-02-23,21.55,20.7,21.72,19.3,14961533
38,2000-02-24,20.9,21.51,21.85,20.5,8063805
39,2000-02-25,22.05,21.2,22.1,21.0,10718013
40,2000-02-28,21.56,22.0,22.64,21.44,5432976
41,2000-02-29,21.97,21.63,22.01,21.58,6421852
42,2000-03-01,22.0,22.05,22.1,21.58,6477096
43,2000-03-02,22.0,22.0,22.2,21.05,7375540
44,2000-03-03,22.09,21.9,22.31,21.5,7164768
45,2000-03-06,22.17,22.0,22.32,21.7,5075732
46,2000-03-07,21.71,22.01,22.05,21.51,4741267
47,2000-03-08,21.34,21.38,21.5,21.06,4300248
48,2000-03-09,21.31,21.58,21.61,21.26,3972585
49,2000-03-10,21.23,21.48,21.48,21.07,6086556
50,2000-03-13,22.05,22.1,22.24,21.45,7039778
51,2000-03-14,23.2,22.3,23.28,22.26,17103675
52,2000-03-15,23.21,23.0,23.5,22.65,7013428
53,2000-03-16,23.98,23.5,24.0,23.35,10478607
54,2000-03-17,23.94,24.0,24.25,23.49,13513553
55,2000-03-20,23.98,23.61,23.98,23.36,5916093
56,2000-03-21,24.1,23.6,24.45,23.53,6092077
57,2000-03-22,24.1,24.02,24.39,23.62,5227938
58,2000-03-23,23.7,24.1,24.49,23.7,4159897
59,2000-03-24,23.63,23.8,23.95,23.36,4528915
60,2000-03-27,24.12,23.35,24.14,23.35,3801430
61,2000-03-28,23.73,24.0,24.03,23.55,2840636
62,2000-03-29,23.42,23.73,24.05,23.16,3846736
63,2000-03-30,23.84,23.1,24.0,23.1,5321543
64,2000-03-31,23.97,23.7,24.11,23.6,3915847
65,2000-04-03,24.37,24.0,24.37,23.92,5064106
66,2000-04-04,23.96,24.27,24.54,23.71,6566042
67,2000-04-05,23.4,23.98,24.19,22.77,5770112
68,2000-04-06,23.21,23.51,23.72,22.81,4856294
69,2000-04-07,23.7,23.3,23.8,23.09,3349546
70,2000-04-10,23.66,23.6,23.81,23.43,2758539
71,2000-04-11,23.5,23.51,23.94,23.2,2976157
72,2000-04-12,23.75,23.45,23.75,23.1,2926617
73,2000-04-13,23.52,23.61,23.89,23.3,2283528
74,2000-04-14,23.6,23.21,23.83,23.21,3795889
75,2000-04-17,23.9,22.6,23.95,22.6,5513469
76,2000-04-18,24.0,23.9,24.03,23.25,3605309
77,2000-04-19,24.0,23.9,24.04,23.68,3189870
78,2000-04-20,23.7,24.0,24.0,23.6,2433021
79,2000-04-25,23.98,23.5,23.98,23.5,2480102
80,2000-04-26,24.04,24.0,24.2,23.81,2960671
81,2000-04-27,23.68,23.97,24.0,23.5,2671013
82,2000-04-28,24.0,23.7,24.0,23.6,2644443
83,2000-05-02,23.74,23.8,23.99,23.48,2343150
84,2000-05-03,23.95,23.6,24.06,23.6,3466420
85,2000-05-04,23.84,23.78,23.9,23.5,2042944
86,2000-05-05,23.72,23.65,23.9,23.5,1959073
87,2000-05-08,23.71,23.7,23.97,23.58,3661649
88,2000-05-09,23.09,23.75,23.81,23.0,4080350
89,2000-05-10,22.81,23.09,23.39,22.63,3927732
90,2000-05-11,22.8,22.79,22.95,22.45,4748609
91,2000-05-12,22.75,22.99,22.99,22.37,2008095
92,2000-05-15,22.58,22.65,22.72,22.25,2513008
93,2000-05-16,23.43,22.75,23.64,22.68,3859870
94,2000-05-17,23.34,23.43,23.49,23.11,3184318
95,2000-05-18,23.87,23.39,23.93,23.01,4699091
96,2000-05-19,23.39,23.81,23.84,23.1,3696046
97,2000-05-22,23.65,23.01,23.9,23.01,4028681
98,2000-05-23,23.94,23.7,23.97,21.8,13783420
99,2000-05-24,24.07,23.65,24.22,23.65,6467101
100,2000-05-25,23.9,24.0,24.0,23.82,3642910
101,2000-05-26,22.69,23.7,23.8,22.57,5866780
102,2000-05-29,22.64,22.7,22.82,22.5,2303532
103,2000-05-30,22.25,22.7,22.7,21.95,5341208
104,2000-05-31,22.22,22.26,22.45,21.83,3733484
105,2000-06-01,22.88,22.39,22.99,22.26,3763597
106,2000-06-02,23.23,22.85,23.45,22.85,2986701
107,2000-06-05,22.25,22.91,23.11,22.17,5239509
108,2000-06-06,21.0,22.0,22.14,20.91,11788010
109,2000-06-07,21.27,21.01,21.37,20.5,6278551
110,2000-06-08,21.21,21.37,21.55,20.98,3824903
111,2000-06-09,21.7,21.21,22.01,21.03,7646545
112,2000-06-12,21.45,21.89,21.95,21.31,2689563
113,2000-06-13,21.44,21.35,21.75,21.15,2636352
114,2000-06-14,21.42,21.45,21.75,21.3,2374299
115,2000-06-15,21.39,21.4,21.58,21.2,2953578
116,2000-06-16,21.85,21.49,21.85,21.35,7420338
117,2000-06-19,21.4,21.62,21.95,21.4,2593889
118,2000-06-20,21.5,21.6,21.72,21.46,4912553
119,2000-06-21,21.61,21.4,21.93,21.4,3741714
120,2000-06-22,21.32,21.61,21.83,21.14,3777025
121,2000-06-23,21.44,21.35,21.56,21.1,4530785
122,2000-06-26,21.25,21.28,21.32,20.85,5896996
123,2000-06-27,20.85,21.1,21.34,20.81,3900422
124,2000-06-28,20.69,20.85,20.9,20.5,7792265
125,2000-06-29,20.16,20.69,20.77,20.09,4060382
126,2000-06-30,20.29,20.25,20.5,20.09,3817463
127,2000-07-03,20.7,20.59,20.72,20.02,2859179
128,2000-07-04,20.7,20.76,21.1,20.68,2006769
129,2000-07-05,20.79,20.65,20.97,20.6,3177717
130,2000-07-06,20.6,20.63,20.99,20.6,3544633
131,2000-07-07,21.04,20.67,21.26,20.65,3239719
132,2000-07-10,21.26,21.1,21.5,21.04,2688731
133,2000-07-11,21.85,21.2,21.98,21.2,3410185
134,2000-07-12,21.86,21.86,22.13,21.7,3831775
135,2000-07-13,21.3,21.71,21.84,21.3,4035560
136,2000-07-14,21.45,21.58,21.63,21.3,1946325
137,2000-07-17,21.15,21.38,21.63,21.0,2946262
138,2000-07-18,21.45,21.15,21.58,21.07,2761680
139,2000-07-19,22.0,21.4,22.02,21.4,4581735
140,2000-07-20,22.35,21.8,22.43,21.71,4760792
141,2000-07-21,22.2,22.25,22.42,22.04,3032847
142,2000-07-24,22.18,22.25,22.5,21.87,1770371
143,2000-07-25,22.11,22.15,22.26,21.9,4700201
144,2000-07-26,22.06,22.1,22.11,21.96,2541816
145,2000-07-27,22.05,22.19,22.19,21.94,2607556
146,2000-07-28,22.07,21.87,22.07,21.87,2831294
147,2000-07-31,22.39,21.92,22.39,21.7,366800
148,2000-08-01,22.45,22.28,22.6,22.24,3184149
149,2000-08-02,22.75,22.65,22.93,22.53,4905590
150,2000-08-03,22.52,22.88,22.9,22.44,4049670
151,2000-08-04,22.68,22.56,22.74,22.4,2389855
152,2000-08-07,22.75,22.55,22.82,22.55,1928052
153,2000-08-08,22.8,22.81,22.87,22.47,2465152
154,2000-08-09,22.5,22.9,23.04,22.47,3302329
155,2000-08-10,22.45,22.68,22.68,22.43,2762600
156,2000-08-11,22.16,22.42,22.5,22.06,2574653
157,2000-08-14,22.4,22.22,22.42,22.01,2158494
158,2000-08-15,22.47,22.45,22.57,22.2,655211
159,2000-08-16,22.4,22.35,22.8,22.35,2866044
160,2000-08-17,22.66,22.45,22.71,22.4,2289870
161,2000-08-18,22.66,22.8,23.14,22.61,2949466
162,2000-08-21,23.03,22.67,23.08,22.67,1909486
163,2000-08-22,23.0,22.99,23.13,22.81,1904942
164,2000-08-23,23.0,23.06,23.2,22.8,1868857
165,2000-08-24,23.1,23.04,23.35,22.87,2319360
166,2000-08-25,22.73,23.0,23.1,22.62,1982081
167,2000-08-28,22.52,22.62,22.8,22.28,816958
168,2000-08-29,22.5,22.5,22.59,22.26,1567651
169,2000-08-30,22.29,22.51,22.51,22.29,1709133
170,2000-08-31,21.95,22.43,22.43,21.91,6136763
171,2000-09-01,21.77,21.95,22.05,21.45,4238151
172,2000-09-04,21.7,21.85,21.88,21.65,9800311
173,2000-09-05,21.71,21.84,21.84,21.61,5615518
174,2000-09-06,21.85,21.73,21.93,21.65,2105972
175,2000-09-07,22.26,22.0,22.26,21.9,3520026
176,2000-09-08,22.2,22.32,22.55,22.06,1926280
177,2000-09-11,22.7,22.25,22.77,22.15,2909863
178,2000-09-12,22.6,22.76,22.9,22.49,3085676
179,2000-09-13,22.7,22.55,22.8,22.55,2891452
180,2000-09-14,22.97,22.83,22.97,22.51,3603785
181,2000-09-15,23.25,23.0,23.5,22.8,10006139
182,2000-09-18,22.65,22.96,23.14,22.65,6629915
183,2000-09-19,22.2,22.6,22.68,22.1,4575077
184,2000-09-20,22.0,22.1,22.25,21.83,3213007
185,2000-09-21,22.0,22.0,22.04,21.75,4788798
186,2000-09-22,21.88,21.75,22.0,21.6,4908619
187,2000-09-25,21.76,22.1,22.4,21.74,3110683
188,2000-09-26,21.04,21.65,21.73,21.01,6190126
189,2000-09-27,21.7,21.22,21.75,21.11,4941923
190,2000-09-28,21.83,21.84,21.84,21.42,3584820
191,2000-09-29,21.3,21.8,21.84,21.26,2512759
192,2000-10-02,21.41,21.22,21.67,21.22,3186791
193,2000-10-03,22.1,21.46,22.18,21.45,4218730
194,2000-10-04,22.1,22.19,23.36,22.0,3878162
195,2000-10-05,22.6,22.11,22.82,22.11,5326562
196,2000-10-06,22.61,22.81,23.05,22.5,3448272
197,2000-10-09,22.2,22.49,22.85,21.94,3299475
198,2000-10-10,21.59,22.2,22.26,21.49,5541414
199,2000-10-11,22.21,21.59,22.3,21.26,4594464
200,2000-10-13,22.4,21.71,22.4,21.34,6378041
201,2000-10-16,21.49,22.28,22.28,21.48,3133133
202,2000-10-17,21.49,21.49,21.49,21.49,14760515
203,2000-10-18,19.6,20.8,20.89,19.46,14760515
204,2000-10-19,19.75,19.65,19.84,19.5,10172409
205,2000-10-20,19.7,20.0,20.0,19.23,10257841
206,2000-10-23,18.97,19.65,19.65,18.68,10855321
207,2000-10-24,19.15,19.0,19.3,18.68,6159012
208,2000-10-25,18.88,19.03,19.05,18.65,6946269
209,2000-10-26,18.79,18.88,19.16,18.68,7437905
210,2000-10-27,19.19,18.9,19.44,18.85,4569544
211,2000-10-30,19.25,19.25,19.38,18.83,2134639
212,2000-10-31,19.2,19.4,19.57,19.02,5404611
213,2000-11-02,18.81,19.46,19.46,18.68,4771502
214,2000-11-03,18.92,18.61,19.05,18.61,4343080
215,2000-11-06,19.55,19.07,19.7,19.01,5934409
216,2000-11-07,19.82,19.6,19.97,19.47,5236949
217,2000-11-08,19.68,19.98,20.16,19.68,6990784
