TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
EZE,1,47,18401,12233,,755.0,0.006393,0.004858,0.021215,0.007734,2006-04-11,2007-04-25,379,21,44,0.02589759953762244,0.0
EZE,1,77,18401,4021,,1.0,0.006393,0.004427,0.021215,-0.004509,2006-04-11,2007-04-25,379,21,30,0.0,0.04971784685095101
EZE,2,46,18335,12352,1616.0,810.0,0.008401,0.03536,0.001212,0.0055520000000000005,2005-02-21,2006-05-30,463,29,50,0.023634266460281744,0.0
EZE,2,52,18335,11593,1616.0,599.0,0.008401,0.017341,0.001212,0.003261,2005-02-18,2007-04-23,794,53,68,0.018016581626116697,0.0
EZE,3,21,18322,15330,1.0,,0.001323,0.002944,0.002498,-0.000424,2000-02-03,2006-11-29,2491,71,29,0.0028198419902700327,0.0
EZE,3,22,18322,15307,1.0,673.0,0.001323,0.009071,0.002498,-0.002806,2003-09-08,2007-10-10,1493,66,143,0.01117692503317782,0.0
EZE,3,57,18322,10966,1.0,,0.001323,0.016203,0.002498,-0.00389,2003-06-03,2005-10-27,877,27,22,0.01026562041906983,0.0
EZE,3,62,18322,10357,1.0,726.0,0.001323,0.017225,0.002498,-0.009684,2002-03-06,2007-10-15,2049,82,149,0.0,-0.016968688162072552
EZE,3,72,18322,6141,1.0,1.0,0.001323,0.005201,0.002498,-0.004495,2000-02-21,2007-10-15,2793,92,58,0.004677001140313461,0.0
EZE,3,75,18322,5325,1.0,,0.001323,0.007956,0.002498,-0.002782,2000-01-19,2005-01-28,1836,38,22,0.004121280403121281,0.010081415939758188
EZE,3,81,18322,2955,1.0,798.0,0.001323,0.011025,0.002498,7.6e-05,2000-01-20,2007-09-05,2785,94,246,0.0057070743135168855,0.0
EZE,4,80,18321,3023,1.0,798.0,0.005961,0.0035700000000000007,-0.013472,0.002998,2000-03-07,2003-06-25,1205,83,21,0.006029718597800945,0.0
EZE,5,6,18233,18232,,,0.006494,0.003389,-0.004238,-0.007845999999999999,2005-01-17,2007-07-06,900,34,46,0.06830547988290607,0.0
EZE,5,79,18233,3363,,340.0,0.006494,0.01441,-0.004238,-0.009254,2005-10-07,2007-07-20,651,25,50,0.014008693366974342,0.0
EZE,5,81,18233,2955,,798.0,0.006494,0.011025,-0.004238,7.6e-05,2005-01-17,2007-09-05,961,34,177,0.021710128858287697,0.0
EZE,6,81,18232,2955,,798.0,0.003389,0.011025,-0.007845999999999999,7.6e-05,2005-01-17,2007-07-06,900,46,167,0.018581121987516463,-0.02134566316166028
EZE,7,9,18228,17515,1656.0,718.0,0.05818,0.034073,-0.010174,-0.033563,2006-01-12,2007-08-23,588,103,62,0.027570719514267282,0.0
EZE,7,27,18228,14730,1656.0,,0.05818,0.006429000000000001,-0.010174,-0.011746,2005-02-22,2007-04-19,786,79,44,0.018841001649321332,0.0
EZE,7,36,18228,13330,1656.0,1608.0,0.05818,0.034725,-0.010174,-0.042383,2006-01-11,2007-07-10,545,98,186,0.01917166845183584,0.0
EZE,7,40,18228,12790,1656.0,1603.0,0.05818,0.003613,-0.010174,0.023935,2005-06-21,2007-01-04,562,57,104,0.020290569917913417,0.0
EZE,7,41,18228,12756,1656.0,1603.0,0.05818,0.011245,-0.010174,0.018406,2005-07-20,2007-02-06,566,58,91,0.032033799173954366,0.0
EZE,7,42,18228,12753,1656.0,1603.0,0.05818,0.006171,-0.010174,-0.002639,2005-07-19,2007-10-03,806,112,104,0.014753545753883697,0.0
EZE,7,53,18228,11586,1656.0,712.0,0.05818,0.044343,-0.010174,-0.011602,2005-02-22,2007-10-03,953,117,290,0.011850856168515136,0.0
EZE,7,82,18228,2525,1656.0,887.0,0.05818,0.0031100000000000004,-0.010174,0.0034630000000000004,2005-02-22,2007-09-14,934,113,50,0.011447717970965688,0.0
EZE,7,86,18228,1309,1656.0,2100.0,0.05818,0.020926,-0.010174,0.0077909999999999984,2005-02-22,2006-10-04,589,61,80,0.01987240163126134,0.0
EZE,7,88,18228,1262,1656.0,,0.05818,0.011203,-0.010174,-0.008652,2005-02-22,2007-09-20,940,114,75,0.015541795189779141,0.0
EZE,8,19,17542,15424,523.0,,0.005529999999999999,0.006581,0.001114,0.00017,2002-10-17,2007-07-20,1737,63,44,0.005804193794726313,0.0
EZE,8,42,17542,12753,523.0,1603.0,0.005529999999999999,0.006171,0.001114,-0.002639,2005-07-19,2007-07-20,731,22,92,0.016945794403790314,0.0
EZE,8,57,17542,10966,523.0,,0.005529999999999999,0.016203,0.001114,-0.00389,2003-06-03,2005-10-27,877,26,22,0.010860233700948666,0.0
EZE,8,61,17542,10366,523.0,726.0,0.005529999999999999,0.004441,0.001114,0.000572,2002-06-21,2007-03-06,1719,66,73,0.007318813978144619,0.0
EZE,8,77,17542,4021,523.0,1.0,0.005529999999999999,0.004427,0.001114,-0.004509,2005-07-20,2007-07-20,730,22,46,0.011066219677186764,0.0
EZE,8,79,17542,3363,523.0,340.0,0.005529999999999999,0.01441,0.001114,-0.009254,2005-10-07,2007-07-20,651,21,50,0.023842390897903118,0.0
EZE,8,81,17542,2955,523.0,798.0,0.005529999999999999,0.011025,0.001114,7.6e-05,2002-06-13,2007-07-20,1863,72,185,0.0,0.017711337569505027
EZE,9,34,17515,13397,718.0,809.0,0.034073,0.004504,-0.033563,-0.011695,2006-02-10,2007-08-23,559,57,82,0.0250482204130412,0.0
