id_price,date,close,open,max,min,volume
1,2000-01-03,13.03,12.78,13.07,12.58,159581
2,2000-01-04,12.57,13.01,13.01,12.25,128572
3,2000-01-05,12.4,12.05,12.46,12.05,127140
4,2000-01-07,12.51,12.51,12.57,12.11,60299
5,2000-01-10,12.62,12.86,12.91,12.29,183499
6,2000-01-11,12.4,12.57,12.69,12.0,201985
7,2000-01-12,12.22,12.23,12.23,11.89,43768
8,2000-01-13,11.6,12.17,12.32,11.6,161158
9,2000-01-14,11.71,11.57,12.23,11.54,114781
10,2000-01-17,11.41,11.69,11.69,11.05,212058
11,2000-01-18,13.02,11.09,13.11,10.88,730313
12,2000-01-19,12.78,13.26,14.17,12.33,474975
13,2000-01-20,13.66,12.91,14.0,12.8,552086
14,2000-01-21,13.49,13.85,14.05,13.14,168782
15,2000-01-24,13.6,13.71,14.23,13.43,280686
16,2000-01-25,13.35,13.29,13.7,13.21,82743
17,2000-01-26,13.11,13.36,13.49,12.69,159655
18,2000-01-27,12.94,12.91,13.3,12.7,140083
19,2000-01-28,12.23,12.75,12.86,12.0,166370
20,2000-01-31,11.79,12.06,12.06,11.6,50450
21,2000-02-01,11.83,11.89,12.09,11.68,43133
22,2000-02-02,12.17,11.94,12.57,11.6,91452
23,2000-02-03,12.79,12.32,12.79,12.11,243895
24,2000-02-04,12.8,12.8,13.02,12.63,163886
25,2000-02-07,13.03,12.63,13.13,12.63,317493
26,2000-02-08,13.03,13.03,13.28,12.74,312997
27,2000-02-09,12.74,13.53,13.53,12.42,244262
28,2000-02-10,13.13,12.51,13.13,12.07,389771
29,2000-02-11,13.41,13.2,13.54,12.86,278702
30,2000-02-14,12.97,13.6,13.6,12.58,161136
31,2000-02-15,13.12,12.91,13.13,12.34,161298
32,2000-02-16,13.3,13.14,13.31,12.8,187128
33,2000-02-17,15.07,13.41,15.29,13.31,940297
34,2000-02-18,15.77,15.1,16.23,14.46,1220781
35,2000-02-21,14.97,15.94,15.94,14.25,495730
36,2000-02-22,14.37,14.85,15.07,14.06,263130
37,2000-02-23,14.29,14.37,14.62,13.78,173894
38,2000-02-24,14.45,14.0,14.63,13.94,154540
39,2000-02-25,14.87,14.57,15.38,14.41,522314
40,2000-02-28,15.27,15.25,15.74,14.98,232586
41,2000-02-29,14.91,15.5,15.53,14.91,138178
42,2000-03-01,15.53,14.93,15.93,14.9,371076
43,2000-03-02,16.46,15.45,16.46,15.14,456149
44,2000-03-03,16.71,16.7,17.43,16.51,408592
45,2000-03-06,18.97,17.14,19.09,16.87,653081
46,2000-03-07,19.25,18.65,19.43,18.29,744028
47,2000-03-08,17.82,19.09,19.89,17.54,672651
48,2000-03-09,17.94,18.06,18.86,17.71,868844
49,2000-03-10,18.51,18.57,18.72,18.29,260546
50,2000-03-13,19.26,18.97,19.36,18.65,466209
51,2000-03-14,18.99,19.38,19.43,18.69,376510
52,2000-03-15,17.94,18.66,18.88,17.83,221984
53,2000-03-16,17.47,18.17,18.23,16.9,257009
