TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
GAS,2,6,18322,18195,1.0,2008.0,0.001471,0.009656,-0.004902,-0.007657,2000-01-07,2003-04-03,1182,75,64,0.01886507475188405,0
GAS,8,9,18169,18159,1611.0,1658.0,0.044798000000000004,0.028100999999999998,-0.016,0.001443,2004-11-24,2007-03-19,845,106,112,0.06278302854169121,0
GAS,8,17,18169,11513,1611.0,1658.0,0.044798000000000004,0.012162000000000001,-0.016,-0.000165,2004-11-24,2007-03-19,845,106,45,0.023973115606865342,0
GAS,8,20,18169,9191,1611.0,349.0,0.044798000000000004,0.044285000000000005,-0.016,-0.004806,2004-11-24,2007-03-19,845,106,94,0.02940300667801533,0
GAS,8,22,18169,9185,1611.0,349.0,0.044798000000000004,0.033793000000000004,-0.016,-0.00905,2004-11-24,2006-06-21,574,87,38,0.053967771825503205,0
GAS,8,25,18169,6198,1611.0,349.0,0.044798000000000004,0.039317000000000005,-0.016,-0.009448,2004-11-24,2007-03-19,845,106,90,0.030534590565989818,0
GAS,9,17,18159,11513,1658.0,1658.0,0.028100999999999998,0.012162000000000001,0.001443,-0.000165,2004-03-22,2007-10-02,1289,133,57,0.06541300901892969,0
GAS,9,20,18159,9191,1658.0,349.0,0.028100999999999998,0.044285000000000005,0.001443,-0.004806,2003-08-28,2007-10-11,1505,155,138,0.02144464523738,0
GAS,9,25,18159,6198,1658.0,349.0,0.028100999999999998,0.039317000000000005,0.001443,-0.009448,2003-08-28,2007-10-11,1505,155,125,0.020404764894993103,0
GAS,10,20,17837,9191,599.0,349.0,0.035175,0.044285000000000005,-0.027512,-0.004806,2000-09-04,2002-07-02,666,71,31,0.01960041292954986,0
GAS,10,21,17837,9190,599.0,349.0,0.035175,0.030305000000000002,-0.027512,-0.020119,2001-02-22,2002-07-02,495,49,44,0.07107568854758056,0
GAS,11,22,16433,9185,2053.0,349.0,0.00716,0.033793000000000004,-0.003329,-0.00905,2001-10-17,2006-06-21,1708,57,134,0.011310070028725937,0
GAS,11,28,16433,2963,2053.0,1.0,0.00716,0.023666,-0.003329,-0.001794,2001-10-17,2003-05-15,575,28,54,0.03232468408707296,0
GAS,19,20,10510,9191,712.0,349.0,0.058940999999999986,0.044285000000000005,0.005832,-0.004806,2003-02-19,2005-06-17,849,87,60,0.02616023061074757,0
GAS,19,22,10510,9185,712.0,349.0,0.058940999999999986,0.033793000000000004,0.005832,-0.00905,2003-02-19,2005-06-17,849,87,61,0.03991028782237476,0
GAS,20,25,9191,6198,349.0,349.0,0.044285000000000005,0.039317000000000005,-0.004806,-0.009448,2000-03-23,2007-10-11,2758,198,150,0.13125478124209564,0
GAS,21,22,9190,9185,349.0,349.0,0.030305000000000002,0.033793000000000004,-0.020119,-0.00905,2001-02-22,2004-09-03,1289,86,112,0.01723228616032671,0
GAS,22,27,9185,4066,349.0,596.0,0.033793000000000004,0.049169,-0.00905,-0.016134,2001-12-12,2004-04-02,842,77,84,0.019157109214554463,0
GAS,25,26,6198,6018,349.0,,0.039317000000000005,0.003179,-0.009448,0.0036030000000000003,2001-06-18,2007-04-18,2130,132,38,0.0064989901699919386,0
