TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
GAS,1,12,18333,15936,,349.0,0.000981,0.010841,0.00011999999999999999,-0.008452,2000-09-19,2004-02-18,1247,34,33,0.00619011327634706,0.0
GAS,1,23,18333,9176,,501.0,0.000981,0.006220000000000001,0.00011999999999999999,-0.000624,2000-09-19,2004-02-18,1247,34,30,0.006246505133092841,0.0
GAS,2,6,18322,18195,1.0,2008.0,0.001471,0.009656,-0.004902,-0.007657,2000-01-07,2003-04-03,1182,75,64,0.01886507475188405,0.0
GAS,2,15,18322,14774,1.0,673.0,0.001471,0.0022489999999999997,-0.004902,0.0021809999999999998,2003-04-29,2006-10-11,1261,74,50,0.008482240610530975,0.0
GAS,2,26,18322,6018,1.0,,0.001471,0.003179,-0.004902,0.0036030000000000003,2001-06-18,2007-04-18,2130,103,38,0.003721382260126529,0.0
GAS,5,7,18228,18178,,783.0,0.0038350000000000003,0.0006929999999999999,-0.003904,-0.001169,2000-12-29,2006-12-04,2166,29,49,0.002672146169843793,0.0
GAS,5,26,18228,6018,,,0.0038350000000000003,0.003179,-0.003904,0.0036030000000000003,2001-06-18,2007-01-24,2046,33,26,0.0029862877236649004,0.0
GAS,6,22,18195,9185,2008.0,349.0,0.009656,0.033793000000000004,-0.007657,-0.00905,2000-01-13,2003-04-03,1176,62,106,0.008954207976941776,0.0
GAS,7,15,18178,14774,783.0,673.0,0.0006929999999999999,0.0022489999999999997,-0.001169,0.0021809999999999998,2003-04-29,2006-10-11,1261,34,50,0.008519174357247564,0.0
GAS,7,23,18178,9176,783.0,501.0,0.0006929999999999999,0.006220000000000001,-0.001169,-0.000624,2000-06-13,2006-12-04,2365,50,46,0.002484319503503596,0.0
GAS,8,9,18169,18159,1611.0,1658.0,0.044798000000000004,0.028100999999999998,-0.016,0.001443,2004-11-24,2007-03-19,845,106,112,0.06278302854169121,0.0
GAS,8,17,18169,11513,1611.0,1658.0,0.044798000000000004,0.012162000000000001,-0.016,-0.000165,2004-11-24,2007-03-19,845,106,45,0.023973115606865342,0.0
