TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
REP,1,2,18433,18427,2053.0,2053.0,0.003361,0.0019879999999999997,0.001913,0.0028,2000-09-14,2007-08-30,2541,58,65,0.09859321274065314,0.0
REP,1,10,18433,18322,2053.0,1.0,0.003361,0.002358,0.001913,-0.004281,2000-09-14,2007-08-31,2542,59,345,0.006458985515068978,0.0
REP,5,7,18348,18333,1.0,608.0,0.00027,0.002043,-0.000664,0.0014349999999999999,2000-06-19,2003-07-18,1124,117,105,0.38626055630082384,0.0
REP,6,12,18344,18317,823.0,1.0,0.001549,0.000893,-0.005606,-0.0065840000000000004,2000-02-18,2003-05-28,1195,52,128,0.030290225922122462,0.0
REP,7,44,18333,6486,608.0,643.0,0.002043,0.009715000000000001,0.0014349999999999999,-0.003946,2001-10-22,2005-12-14,1514,44,38,0.009162991923331351,0.0
REP,8,11,18332,18321,1.0,1.0,0.03533,0.017757,-0.033629,-0.011089,2000-01-07,2000-12-11,339,53,84,0.053235618030041836,0.0
REP,10,11,18322,18321,1.0,1.0,0.002358,0.017757,-0.004281,-0.011089,2000-01-04,2003-07-23,1296,238,357,0.012270988975795757,0.0
REP,10,12,18322,18317,1.0,1.0,0.002358,0.000893,-0.004281,-0.0065840000000000004,2000-01-04,2003-05-28,1240,232,152,0.02323454432622445,0.0
REP,10,44,18322,6486,1.0,643.0,0.002358,0.009715000000000001,-0.004281,-0.003946,2001-10-22,2006-10-10,1814,225,54,0.009446173342024685,0.0
REP,11,12,18321,18317,1.0,1.0,0.017757,0.000893,-0.011089,-0.0065840000000000004,2000-01-04,2003-05-28,1240,349,152,0.016132306016010504,0.0
REP,11,40,18321,9191,1.0,349.0,0.017757,0.028266000000000006,-0.011089,-0.011201000000000001,2000-06-21,2003-07-23,1127,310,58,0.014776955888275909,0.0
REP,12,17,18317,18195,1.0,2008.0,0.000893,0.016363,-0.0065840000000000004,-0.0029519999999999998,2000-01-05,2003-03-24,1174,150,77,0.028377632403753544,0.0
REP,13,14,18247,18246,,1.0,0.0071709999999999986,0.005772,-0.001667,-0.002805,2000-02-10,2007-06-01,2668,47,56,0.004596415721407885,0.0
REP,13,40,18247,9191,,349.0,0.0071709999999999986,0.028266000000000006,-0.001667,-0.011201000000000001,2000-06-21,2007-05-18,2522,44,102,0.008122996152572157,0.0
REP,13,53,18247,4066,,596.0,0.0071709999999999986,0.026106,-0.001667,-0.002805,2001-12-12,2007-06-01,1997,35,194,0.010846686716628851,0.0
REP,14,40,18246,9191,1.0,349.0,0.005772,0.028266000000000006,-0.002805,-0.011201000000000001,2000-06-21,2007-05-18,2522,49,102,0.0,0.011121172291922596
REP,14,48,18246,4844,1.0,1.0,0.005772,0.022163,-0.002805,-0.002078,2000-09-26,2005-03-04,1620,31,75,0.0,-0.013452717350144595
REP,15,53,18232,4066,,596.0,0.00571,0.026106,-0.002382,-0.002805,2002-05-14,2007-09-27,1962,43,201,0.010000204514192831,0.0
REP,18,21,18178,18156,783.0,300000.0,0.002924,0.0030039999999999997,0.000921,0.002209,2003-02-11,2007-10-05,1697,75,66,0.15776810567369165,0.0
REP,18,22,18178,18146,783.0,1.0,0.002924,0.002251,0.000921,0.0033,2000-09-14,2007-10-05,2577,112,91,0.11202496462175768,0.0
REP,18,23,18178,18145,783.0,1.0,0.002924,0.00223,0.000921,0.002867,2000-09-14,2007-10-05,2577,112,90,0.11310652280681195,0.0
REP,18,24,18178,18144,783.0,1.0,0.002924,0.002242,0.000921,0.002687,2000-09-14,2007-10-05,2577,112,91,0.11202496462175768,0.0
REP,18,47,18178,5132,783.0,1.0,0.002924,0.0013460000000000002,0.000921,-0.0008359999999999999,2000-09-14,2006-02-23,1988,77,68,0.15884473803974622,0.0
REP,19,20,18169,18159,1611.0,1658.0,0.062393,0.050311,-0.002355,-0.004704,2004-09-13,2007-05-18,977,136,120,0.060241464928932426,0.0
REP,19,35,18169,11513,1611.0,1658.0,0.062393,0.023684,-0.002355,-0.011859999999999999,2004-09-13,2007-05-18,977,136,53,0.030673404804996977,0.0
REP,20,35,18159,11513,1658.0,1658.0,0.050311,0.023684,-0.004704,-0.011859999999999999,2004-03-09,2007-10-09,1309,159,65,0.06715992855570069,0.0
REP,21,22,18156,18146,300000.0,1.0,0.0030039999999999997,0.002251,0.002209,0.0033,2003-02-11,2007-10-05,1697,66,60,0.07370414747520411,0.0
REP,21,23,18156,18145,300000.0,1.0,0.0030039999999999997,0.00223,0.002209,0.002867,2003-02-11,2007-10-05,1697,66,59,0.07482434932168502,0.0
REP,21,24,18156,18144,300000.0,1.0,0.0030039999999999997,0.002242,0.002209,0.002687,2003-02-11,2007-10-05,1697,66,59,0.07482434932168502,0.0
REP,21,47,18156,5132,300000.0,1.0,0.0030039999999999997,0.0013460000000000002,0.002209,-0.0008359999999999999,2003-02-11,2006-02-23,1108,33,34,0.0755294558202517,0.0
REP,22,23,18146,18145,1.0,1.0,0.002251,0.00223,0.0033,0.002867,2000-04-26,2007-10-05,2718,93,92,0.20660232385847555,0.0
REP,22,24,18146,18144,1.0,1.0,0.002251,0.002242,0.0033,0.002687,2000-04-26,2007-10-05,2718,93,93,0.20424542464746664,0.0
REP,22,47,18146,5132,1.0,1.0,0.002251,0.0013460000000000002,0.0033,-0.0008359999999999999,2000-04-26,2006-02-23,2129,67,70,0.09443488169418784,0.0
REP,23,24,18145,18144,1.0,1.0,0.00223,0.002242,0.002867,0.002687,2000-04-26,2007-10-05,2718,92,93,0.20660232385847555,0.0
REP,23,47,18145,5132,1.0,1.0,0.00223,0.0013460000000000002,0.002867,-0.0008359999999999999,2000-04-26,2006-02-23,2129,67,70,0.09443488169418784,0.0
REP,24,47,18144,5132,1.0,1.0,0.002242,0.0013460000000000002,0.002687,-0.0008359999999999999,2000-04-26,2006-02-23,2129,68,70,0.09340751351202632,0.0
REP,25,58,18139,2412,599.0,,0.006564,0.013149000000000001,-0.005121,0.002068,2001-10-30,2006-03-15,1597,47,45,0.009960618811527513,0.0
REP,26,27,17832,17831,114.0,,0.010623,0.010261,-0.000271,-0.000417,2000-05-02,2007-10-05,2712,55,48,0.08843557409205062,0.0
REP,27,30,17831,15950,,742.0,0.010261,0.001567,-0.000417,-0.000886,2000-10-17,2007-05-17,2403,29,75,0.005488644667790282,0.0
REP,27,31,17831,15724,,523.0,0.010261,0.010812,-0.000417,-0.000495,2000-09-14,2006-06-22,2107,35,65,0.008420888179644023,0.0
REP,28,53,17533,4066,283.0,596.0,0.017499,0.026106,-0.003901,-0.002805,2001-12-12,2007-01-15,1860,62,185,0.009746183240841607,0.0
REP,28,59,17533,2130,283.0,853.0,0.017499,0.002912,-0.003901,-0.0021550000000000002,2001-06-21,2007-01-15,2034,72,100,0.009691037093087593,0.01313582527534979
REP,29,44,16433,6486,2053.0,643.0,0.0050869999999999995,0.009715000000000001,-0.0011619999999999998,-0.003946,2001-10-22,2006-10-10,1814,67,54,0.00891313554505078,0.0
REP,30,38,15950,10216,742.0,,0.001567,0.018493,-0.000886,-0.010424,2001-07-17,2004-08-31,1141,33,47,0.020105654266064445,0.0
REP,30,41,15950,9176,742.0,501.0,0.001567,0.003014,-0.000886,-0.003518,2000-10-17,2007-05-17,2403,75,64,0.005864546711774979,0.0
REP,31,44,15724,6486,523.0,643.0,0.010812,0.009715000000000001,-0.000495,-0.003946,2001-10-22,2006-06-22,1704,33,49,0.008998348877752749,0.0
REP,34,60,11952,1474,,,0.003117,0.045251,0.00882,-0.005629,2005-09-21,2006-10-18,392,36,38,0.0401974964347014,0.0
REP,38,42,10216,8684,,,0.018493,0.025115000000000002,-0.010424,-0.000442,2001-07-17,2004-08-31,1141,47,36,0.01296080895289744,0.0
REP,38,55,10216,2963,,1.0,0.018493,0.015146000000000001,-0.010424,-0.000614,2001-07-17,2004-08-31,1141,47,110,0.02055561924670633,0.0
REP,39,40,9198,9191,349.0,349.0,0.013356,0.028266000000000006,-0.007428,-0.011201000000000001,2001-11-15,2007-05-18,2010,54,72,0.0395138821634582,0.0
REP,39,44,9198,6486,349.0,643.0,0.013356,0.009715000000000001,-0.007428,-0.003946,2001-11-15,2006-10-10,1790,50,43,0.009211128574587904,0.0
REP,39,45,9198,6198,349.0,349.0,0.013356,0.023393,-0.007428,-0.011255,2001-11-15,2007-05-18,2010,54,68,0.035287037784926575,0.0
REP,39,53,9198,4066,349.0,596.0,0.013356,0.026106,-0.007428,-0.002805,2001-12-12,2007-05-18,1983,54,191,0.0108436846577653,0.0
REP,40,44,9191,6486,349.0,643.0,0.028266000000000006,0.009715000000000001,-0.011201000000000001,-0.003946,2001-10-22,2006-10-10,1814,70,54,0.013447723084916714,0.0
REP,40,45,9191,6198,349.0,349.0,0.028266000000000006,0.023393,-0.011201000000000001,-0.011255,2000-10-16,2007-05-18,2405,98,88,0.059391492446058576,0.0
