TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
SAN,1,2,18433,18427,2053.0,2053.0,0.003514,0.004143,0.001633,-0.000145,2000-09-04,2007-08-29,2550,76,56,0.06686990776013177,0.0
SAN,4,137,18386,10510,852.0,712.0,0.015268,0.06666799999999999,-0.008431000000000001,-0.0036780000000000003,2005-05-27,2007-09-26,852,49,124,0.018476589766350242,0.0
SAN,7,11,18348,18333,1.0,608.0,0.001847,0.000734,0.00124,-0.001475,2000-06-14,2005-06-23,1835,152,165,0.288565316199584,0.0
SAN,7,176,18348,5722,1.0,853.0,0.001847,0.024287,0.00124,0.005848,2000-10-11,2005-03-04,1605,139,134,0.013725280094511806,0.0
SAN,11,203,18333,2963,608.0,1.0,0.000734,0.031174,-0.001475,-0.002531,2000-06-07,2005-12-14,2016,168,264,0.0,-0.013020563094607307
SAN,12,205,18332,2955,1.0,798.0,0.027202999999999998,0.004768,0.029462000000000002,-0.0039689999999999994,2000-01-24,2000-12-13,324,72,30,0.0639997177123303,0.0
SAN,13,133,18327,10627,1.0,,0.012691,0.002209,-0.0019649999999999997,-0.0029100000000000003,2002-11-25,2007-08-22,1731,131,46,0.00983716412740277,0.0
SAN,13,137,18327,10510,1.0,712.0,0.012691,0.06666799999999999,-0.0019649999999999997,-0.0036780000000000003,2002-07-09,2007-08-22,1870,141,246,0.009203827275492243,0.0
SAN,13,192,18327,4066,1.0,596.0,0.012691,0.048067,-0.0019649999999999997,-0.002153,2001-12-12,2007-08-22,2079,147,199,0.012753071323810277,0.0
SAN,13,199,18327,3363,1.0,340.0,0.012691,0.014761000000000003,-0.0019649999999999997,-0.01312,2000-02-24,2006-01-26,2163,143,155,0.008562870454850116,0.0
SAN,13,200,18327,3242,1.0,650.0,0.012691,0.049935,-0.0019649999999999997,0.000831,2000-02-24,2005-02-02,1805,115,267,0.008187550340564316,0.0
SAN,13,203,18327,2963,1.0,1.0,0.012691,0.031174,-0.0019649999999999997,-0.002531,2000-02-24,2007-03-19,2580,162,271,0.007683976049468584,0.0
SAN,14,15,18322,18321,1.0,1.0,0.005089,0.019027000000000002,-0.016012000000000002,-0.0044020000000000005,2000-01-17,2003-10-10,1362,317,499,0.03683654453599944,0.0
SAN,14,16,18322,18317,1.0,1.0,0.005089,0.004218,-0.016012000000000002,-0.004494,2000-01-04,2003-08-12,1316,313,163,0.012327056825285045,0.0
SAN,14,26,18322,18159,1.0,1658.0,0.005089,0.06577100000000001,-0.016012000000000002,-0.020054,2003-07-30,2007-10-04,1527,315,256,0.012474096260616092,0.0
SAN,14,103,18322,14464,1.0,671.0,0.005089,0.00503,-0.016012000000000002,-0.004596,2000-07-12,2007-01-19,2382,508,53,0.00848015577502143,0.0
SAN,14,159,18322,7357,1.0,,0.005089,0.013518,-0.016012000000000002,-0.0032920000000000002,2000-02-18,2003-12-23,1404,317,49,0.011374704365398752,0.0
SAN,14,186,18322,4283,1.0,608.0,0.005089,0.0094,-0.016012000000000002,-0.001468,2000-01-07,2004-07-15,1651,367,112,0.01007962599458544,0.0
SAN,14,188,18322,4110,1.0,596.0,0.005089,0.018948,-0.016012000000000002,-0.002532,2000-01-04,2007-09-27,2823,625,138,0.006665313803581752,0.0
SAN,15,61,18321,15936,1.0,349.0,0.019027000000000002,0.020213,-0.0044020000000000005,-0.010678,2001-09-12,2003-10-10,758,280,34,0.02614579065301813,0.0
SAN,15,67,18321,15666,1.0,599.0,0.019027000000000002,0.013609999999999999,-0.0044020000000000005,-0.0007599999999999999,2000-07-12,2003-10-10,1185,451,46,0.016693507762713233,0.0
SAN,15,149,18321,8809,1.0,,0.019027000000000002,0.013309,-0.0044020000000000005,-0.003582,2000-11-21,2003-08-13,995,414,47,0.017247200657093453,0.0
SAN,15,188,18321,4110,1.0,596.0,0.019027000000000002,0.018948,-0.0044020000000000005,-0.002532,2000-01-17,2003-10-10,1362,499,105,0.013496931171531522,0.0
SAN,15,203,18321,2963,1.0,1.0,0.019027000000000002,0.031174,-0.0044020000000000005,-0.002531,2000-01-19,2003-10-10,1360,498,244,0.017082182049467553,0.0
SAN,16,22,18317,18195,1.0,2008.0,0.004218,0.012996,-0.004494,-0.0015810000000000002,2000-01-04,2003-08-12,1316,163,77,0.01965197416921187,0.0
SAN,16,102,18317,14478,1.0,1.0,0.004218,0.006129,-0.004494,-0.00246,2000-02-04,2003-08-12,1285,150,111,0.020733443540988758,0.0
SAN,16,156,18317,7946,1.0,697.0,0.004218,0.026088,-0.004494,-0.005397,2000-01-12,2003-08-12,1308,160,58,0.0141992441838996,0.0
SAN,16,174,18317,5994,1.0,,0.004218,0.0037,-0.004494,0.000633,2000-01-17,2003-08-12,1303,159,27,0.011198115821574359,0.0
SAN,16,202,18317,2968,1.0,798.0,0.004218,0.001401,-0.004494,-0.002336,2000-01-05,2003-08-12,1315,163,129,0.022393235598663658,0.0
SAN,16,203,18317,2963,1.0,1.0,0.004218,0.031174,-0.004494,-0.002531,2000-01-19,2003-08-12,1301,157,244,0.01979015609148808,0.0
SAN,17,144,18247,10252,1.0,671.0,0.002869,0.006957,0.000271,0.001367,2001-08-09,2007-08-10,2192,48,81,0.006073790503073529,0.0
SAN,19,24,18241,18178,1.0,783.0,0.001373,0.0015660000000000001,0.001248,-0.003654,2004-09-29,2007-07-10,1014,57,86,0.06620675730859205,0.0
SAN,19,28,18241,18157,1.0,300000.0,0.001373,0.000334,0.001248,-0.003686,2004-09-29,2007-07-10,1014,57,41,0.04237493613832104,0.0
SAN,19,29,18241,18156,1.0,300000.0,0.001373,0.001041,0.001248,-0.0038469999999999997,2004-09-29,2007-07-10,1014,57,86,0.07547095782095578,0.0
SAN,19,30,18241,18146,1.0,1.0,0.001373,0.002034,0.001248,-0.0056560000000000004,2004-09-29,2007-07-10,1014,57,52,0.019986753846998048,0.0
SAN,19,31,18241,18145,1.0,1.0,0.001373,0.0026899999999999997,0.001248,-0.0043100000000000005,2004-09-29,2007-07-10,1014,57,51,0.020309794049376547,0.0
SAN,19,32,18241,18144,1.0,1.0,0.001373,0.002884,0.001248,-0.003919,2004-09-29,2007-07-10,1014,57,50,0.02064996941830884,0.0
SAN,19,128,18241,10795,1.0,300000.0,0.001373,0.003196,0.001248,0.004517,2004-09-29,2005-11-02,399,32,40,0.2872857988745029,0.0
SAN,19,179,18241,5132,1.0,1.0,0.001373,0.004611,0.001248,0.000333,2004-09-29,2006-02-24,513,37,50,0.21416659557397635,0.0
SAN,20,192,18232,4066,2002.0,596.0,0.008103,0.048067,0.00042800000000000016,-0.002153,2002-07-30,2007-09-28,1886,55,145,0.009228163289593977,0.0
SAN,21,38,18228,17832,,114.0,0.004566,0.014318,-1e-05,-0.004306,2001-01-08,2006-06-19,1988,23,69,0.006917906112909886,0.0
SAN,22,102,18195,14478,2008.0,1.0,0.012996,0.006129,-0.0015810000000000002,-0.00246,2000-02-04,2003-11-07,1372,70,111,0.01891278332401892,0.0
SAN,22,172,18195,6185,2008.0,523.0,0.012996,0.014106,-0.0015810000000000002,-0.001011,2000-01-11,2003-11-07,1396,77,60,0.013218626474662131,0.0
SAN,23,184,18179,4844,1.0,1.0,0.015347,0.03261,0.001312,-0.001754,2000-02-15,2002-12-20,1039,72,110,0.01690652830638996,0.0
SAN,23,188,18179,4110,1.0,596.0,0.015347,0.018948,0.001312,-0.002532,2000-01-28,2002-12-20,1057,73,90,0.015676209719820075,0.0
SAN,24,28,18178,18157,783.0,300000.0,0.0015660000000000001,0.000334,-0.003654,-0.003686,2003-03-17,2007-07-10,1576,113,65,0.06169543473583496,0.0
SAN,24,29,18178,18156,783.0,300000.0,0.0015660000000000001,0.001041,-0.003654,-0.0038469999999999997,2003-03-17,2007-07-10,1576,113,111,0.25700773741429944,0.0
SAN,24,30,18178,18146,783.0,1.0,0.0015660000000000001,0.002034,-0.003654,-0.0056560000000000004,2000-01-21,2007-07-10,2727,184,136,0.15560477876979642,0.0
SAN,24,31,18178,18145,783.0,1.0,0.0015660000000000001,0.0026899999999999997,-0.003654,-0.0043100000000000005,2000-01-21,2007-07-10,2727,184,136,0.15819945149733916,0.0
SAN,24,32,18178,18144,783.0,1.0,0.0015660000000000001,0.002884,-0.003654,-0.003919,2000-01-21,2007-07-10,2727,184,135,0.15887417630976822,0.0
SAN,24,128,18178,10795,783.0,300000.0,0.0015660000000000001,0.003196,-0.003654,0.004517,2003-02-27,2005-11-02,979,66,66,0.22091449067918195,0.0
SAN,24,179,18178,5132,783.0,1.0,0.0015660000000000001,0.004611,-0.003654,0.000333,2000-01-21,2006-02-24,2226,143,143,0.2319678222971489,0.0
SAN,25,26,18169,18159,1611.0,1658.0,0.03916,0.06577100000000001,-0.0051979999999999995,-0.020054,2004-11-18,2007-09-17,1033,97,187,0.040961454666484695,0.0
SAN,25,114,18169,12170,1611.0,283.0,0.03916,0.038139,-0.0051979999999999995,-0.000421,2004-11-18,2007-09-17,1033,97,81,0.025258671088603468,0.0
SAN,25,125,18169,11106,1611.0,,0.03916,0.025108000000000002,-0.0051979999999999995,0.00162,2004-11-18,2006-04-25,523,62,26,0.03185886637825107,0.0
SAN,25,137,18169,10510,1611.0,712.0,0.03916,0.06666799999999999,-0.0051979999999999995,-0.0036780000000000003,2004-11-18,2007-09-17,1033,97,155,0.03398500872468188,0.0
SAN,25,146,18169,9191,1611.0,349.0,0.03916,0.02051,-0.0051979999999999995,-0.012894999999999998,2004-11-18,2007-09-17,1033,97,46,0.01507166927959108,0.0
SAN,25,155,18169,7954,1611.0,523.0,0.03916,0.03155,-0.0051979999999999995,3.6e-05,2004-11-18,2007-09-17,1033,97,54,0.014764316145257734,0.0
SAN,26,38,18159,17832,1658.0,114.0,0.06577100000000001,0.014318,-0.020054,-0.004306,2003-07-30,2007-09-27,1520,253,47,0.01550453548546489,0.0
SAN,26,58,18159,15961,1658.0,742.0,0.06577100000000001,0.015498,-0.020054,-0.000195,2003-07-30,2006-09-14,1142,201,28,0.01594021764916537,0.0
SAN,26,60,18159,15950,1658.0,742.0,0.06577100000000001,0.013286000000000001,-0.020054,-0.005903,2003-07-30,2007-07-13,1444,246,143,0.011595410044207149,0.0
SAN,26,66,18159,15680,1658.0,755.0,0.06577100000000001,0.010795,-0.020054,-0.011231,2003-07-30,2007-07-10,1441,244,89,0.011618352928317529,0.0
SAN,26,76,18159,15368,1658.0,627.0,0.06577100000000001,0.016296,-0.020054,-0.0024219999999999997,2003-07-30,2007-03-26,1335,230,41,0.016257193614854084,0.0
SAN,26,114,18159,12170,1658.0,283.0,0.06577100000000001,0.038139,-0.020054,-0.000421,2004-11-11,2007-10-04,1057,195,82,0.032439534587134285,0.0
SAN,26,119,18159,11513,1658.0,1658.0,0.06577100000000001,0.016717,-0.020054,0.002,2004-02-11,2007-10-15,1342,215,75,0.06366336861779201,0.0
SAN,26,125,18159,11106,1658.0,,0.06577100000000001,0.025108000000000002,-0.020054,0.00162,2003-07-30,2006-04-25,1000,183,49,0.03806514251433421,0.0
SAN,26,137,18159,10510,1658.0,712.0,0.06577100000000001,0.06666799999999999,-0.020054,-0.0036780000000000003,2003-07-30,2007-09-26,1519,252,200,0.02140879518850342,0.0
SAN,26,146,18159,9191,1658.0,349.0,0.06577100000000001,0.02051,-0.020054,-0.012894999999999998,2003-07-30,2007-10-02,1525,255,65,0.01531521799929899,0.0
SAN,26,147,18159,9176,1658.0,501.0,0.06577100000000001,0.025089,-0.020054,0.0007740000000000001,2003-07-30,2007-09-27,1520,253,165,0.015693448163689238,0.0
SAN,26,171,18159,6198,1658.0,349.0,0.06577100000000001,0.017439,-0.020054,-0.002665,2003-07-30,2007-10-02,1525,255,64,0.018374286265261747,0.0
SAN,26,184,18159,4844,1658.0,1.0,0.06577100000000001,0.03261,-0.020054,-0.001754,2003-07-30,2007-08-08,1470,250,40,0.01606179142067535,0.0
SAN,28,29,18157,18156,300000.0,300000.0,0.000334,0.001041,-0.003686,-0.0038469999999999997,2003-03-17,2007-07-10,1576,65,111,0.07922244527370906,0.0
