id_price,date,close,open,max,min,volume
1,2000-01-03,11.38,11.5,11.54,11.25,7614105
2,2000-01-04,11.11,11.24,11.3,11.01,7625941
3,2000-01-05,10.84,10.9,11.04,10.75,8078169
4,2000-01-07,11.32,10.92,11.35,10.91,8311521
5,2000-01-10,11.22,11.42,11.42,11.12,5840150
6,2000-01-11,10.84,11.2,11.22,10.65,13236600
7,2000-01-12,10.74,10.72,10.74,10.56,10431270
8,2000-01-13,10.65,10.8,10.81,10.51,9558203
9,2000-01-14,10.93,10.7,11.01,10.62,13627934
10,2000-01-17,10.64,11.1,11.12,10.55,27366611
11,2000-01-18,10.1,10.6,10.6,10.04,17390632
12,2000-01-19,10.1,10.01,10.11,9.87,17887249
13,2000-01-20,10.31,10.2,10.48,10.16,10186878
14,2000-01-21,9.99,10.38,10.47,9.93,15799849
15,2000-01-24,10.1,10.1,10.3,10.0,8563701
16,2000-01-25,10.1,10.0,10.12,9.94,13713554
17,2000-01-26,10.36,10.23,10.39,10.1,19597451
18,2000-01-27,10.39,10.47,10.48,10.25,43428020
19,2000-01-28,10.07,10.42,10.44,10.03,11340556
20,2000-01-31,10.07,10.1,10.22,9.95,43033989
21,2000-02-01,10.14,10.24,10.27,10.03,3114042
22,2000-02-02,10.19,10.28,10.29,10.05,9237740
23,2000-02-03,10.33,10.22,10.44,10.1,9863923
24,2000-02-04,10.42,10.45,10.54,10.31,12029718
25,2000-02-07,10.74,10.54,10.74,10.47,10791704
26,2000-02-08,10.92,10.76,10.99,10.62,10588945
27,2000-02-09,10.72,11.0,11.0,10.56,9450376
28,2000-02-10,10.5,10.63,10.72,10.36,7915999
29,2000-02-11,9.93,10.5,10.51,9.85,15052575
30,2000-02-14,10.41,10.32,10.82,9.95,23145383
31,2000-02-15,10.58,10.55,10.91,10.45,18453763
32,2000-02-16,11.11,10.83,11.14,10.66,29143674
33,2000-02-17,11.1,11.03,11.28,11.01,14548017
34,2000-02-18,10.82,11.11,11.15,10.82,15873912
35,2000-02-21,11.01,10.75,11.08,10.7,7724890
36,2000-02-22,10.86,11.0,11.15,10.74,10033754
37,2000-02-23,11.1,10.95,11.1,10.75,8140263
38,2000-02-24,10.8,11.0,11.09,10.75,9592233
39,2000-02-25,10.87,10.83,11.04,10.75,8607293
40,2000-02-28,10.81,10.9,10.96,10.73,8254738
41,2000-02-29,10.9,10.86,11.1,10.81,6489788
42,2000-03-01,10.88,10.9,10.97,10.77,7911719
43,2000-03-02,11.05,10.94,11.08,10.91,12228523
44,2000-03-03,10.94,11.15,11.25,10.9,14537088
45,2000-03-06,10.9,11.12,11.12,10.9,10693972
46,2000-03-07,10.86,10.92,11.05,10.82,8685116
47,2000-03-08,10.95,10.81,11.05,10.8,7969836
48,2000-03-09,11.03,10.96,11.15,10.9,12813321
49,2000-03-10,11.19,11.14,11.19,10.97,51882496
50,2000-03-13,11.14,11.25,11.35,10.88,12988401
51,2000-03-14,11.29,11.25,11.29,11.06,20319000
52,2000-03-15,11.38,11.13,11.45,11.1,28947143
53,2000-03-16,11.57,11.48,11.6,11.43,14294889
54,2000-03-17,11.86,11.71,12.0,11.62,21222482
55,2000-03-20,11.85,11.8,11.99,11.8,17372722
56,2000-03-21,11.7,11.76,11.87,11.45,9541269
57,2000-03-22,11.58,11.7,11.85,11.47,11206314
58,2000-03-23,11.38,11.6,11.72,11.35,9049868
59,2000-03-24,11.53,11.37,11.63,11.3,4801450
60,2000-03-27,11.42,11.41,11.53,11.3,5473044
