TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
TEF,1,2,18433,18428,2053.0,2053.0,0.0008900000000000002,0.0017829999999999999,-0.00122,-0.004324000000000001,2000-09-19,2006-02-21,1981,42,58,0.05015716401345397,0.0
TEF,1,3,18433,18427,2053.0,2053.0,0.0008900000000000002,0.001397,-0.00122,-0.0013880000000000001,2000-09-19,2007-05-22,2436,56,74,0.07351094259935617,0.0
TEF,2,3,18428,18427,2053.0,2053.0,0.0017829999999999999,0.001397,-0.004324000000000001,-0.0013880000000000001,2000-02-09,2006-02-21,2204,65,90,0.0599766894484743,0.0
TEF,3,4,18427,18425,2053.0,,0.001397,0.006174,-0.0013880000000000001,0.022085,2000-02-09,2001-11-13,643,41,38,0.06529677588872182,0.0
TEF,3,114,18427,15824,2053.0,1.0,0.001397,0.008282,-0.0013880000000000001,-0.0013859999999999999,2000-06-05,2007-05-14,2534,86,71,0.005195585165000931,0.0
TEF,3,270,18427,8570,2053.0,1.0,0.001397,0.006411,-0.0013880000000000001,-0.007958,2000-05-17,2006-02-17,2102,78,100,0.006805796511628629,0.0
TEF,3,335,18427,5681,2053.0,853.0,0.001397,0.06963899999999999,-0.0013880000000000001,-0.03486,2000-04-05,2001-10-31,574,28,101,0.03538630647576057,0.0
TEF,3,374,18427,2968,2053.0,798.0,0.001397,0.002228,-0.0013880000000000001,-0.001023,2000-06-28,2006-10-05,2290,81,126,0.0,-0.010584273106791678
TEF,4,22,18425,18317,,1.0,0.006174,0.006823,0.022085,-0.0023710000000000003,2000-01-17,2001-11-13,666,45,245,0.02720280794263935,0.0
TEF,4,75,18425,17378,,789.0,0.006174,0.005939,0.022085,-0.00028199999999999997,2000-01-17,2001-11-13,666,45,60,0.029440757701569068,0.0
TEF,4,185,18425,14478,,1.0,0.006174,0.001379,0.022085,-0.000599,2000-01-17,2001-11-13,666,45,49,0.029699003737299636,0.0
TEF,5,11,18417,18350,,1.0,0.0037670000000000004,0.072047,-0.002939,0.004195,2000-01-20,2001-09-20,609,35,99,0.0329680824411483,0.0
TEF,5,17,18417,18333,,608.0,0.0037670000000000004,0.001704,-0.002939,-0.0023710000000000003,2000-06-07,2007-08-10,2620,40,447,0.00832602769138823,-0.008748472587736138
TEF,5,41,18417,18179,,1.0,0.0037670000000000004,0.036364,-0.002939,-0.009762999999999999,2000-01-20,2002-12-20,1065,37,134,0.01533332881959021,0.0
TEF,5,97,18417,16511,,2054.0,0.0037670000000000004,0.0036420000000000003,-0.002939,-0.000204,2000-06-07,2003-04-25,1052,30,64,0.014461807063758634,-0.02408636046012194
TEF,5,263,18417,8957,,523.0,0.0037670000000000004,0.008854,-0.002939,-0.0038350000000000003,2000-04-03,2007-08-02,2677,43,68,0.005073029204585972,0.0
TEF,5,282,18417,8018,,631.0,0.0037670000000000004,0.01195,-0.002939,-0.001952,2000-05-10,2006-02-03,2095,40,69,0.007015476151539161,0.0
TEF,5,403,18417,886,,1.0,0.0037670000000000004,0.09425599999999999,-0.002939,-0.0032450000000000005,2000-01-20,2001-09-20,609,35,125,0.040459001038848114,0.0
TEF,6,195,18416,12924,1608.0,,0.014130000000000004,0.011545,-0.004568,-0.003077,2005-08-05,2007-01-29,542,36,36,0.03497259828479201,0.06569640999110714
TEF,6,200,18416,12170,1608.0,283.0,0.014130000000000004,0.030721,-0.004568,-0.033277999999999995,2005-03-15,2007-01-29,685,50,52,0.02094569776338609,0.0
TEF,9,22,18379,18317,1.0,1.0,0.006121,0.006823,0.0038619999999999995,-0.0023710000000000003,2000-01-04,2003-06-12,1255,28,261,0.018853294473556145,0.0
TEF,9,33,18379,18228,1.0,,0.006121,0.003394,0.0038619999999999995,-0.0032990000000000003,2000-12-29,2006-08-14,2054,35,47,0.013084667637572659,0.0
TEF,9,43,18379,18177,1.0,1.0,0.006121,0.01068,0.0038619999999999995,-0.004954999999999999,2000-01-05,2006-09-21,2451,49,85,0.009664285239303945,0.0
TEF,9,52,18379,18144,1.0,1.0,0.006121,0.006113,0.0038619999999999995,-0.0050799999999999994,2000-01-04,2007-09-14,2810,53,203,0.0,-0.006760148851253521
TEF,9,75,18379,17378,1.0,789.0,0.006121,0.005939,0.0038619999999999995,-0.00028199999999999997,2000-01-04,2007-06-05,2709,52,100,0.008881572714021142,0.0
TEF,10,20,18366,18322,852.0,1.0,0.0023309999999999997,0.004181,-0.008529,-0.009537,2005-12-13,2007-10-11,667,117,282,0.04208258393628125,0.0
TEF,11,20,18350,18322,1.0,1.0,0.072047,0.004181,0.004195,-0.009537,2000-01-19,2001-09-20,610,99,339,0.027864244032723917,0.0
TEF,11,41,18350,18179,1.0,1.0,0.072047,0.036364,0.004195,-0.009762999999999999,2000-01-19,2001-09-20,610,99,88,0.04991763917873114,0.0
TEF,11,59,18350,18003,1.0,599.0,0.072047,0.012754000000000001,0.004195,-0.004963,2000-06-19,2001-09-20,458,77,45,0.04052799079789261,0.0
TEF,11,263,18350,8957,1.0,523.0,0.072047,0.008854,0.004195,-0.0038350000000000003,2000-04-03,2001-09-20,535,86,39,0.03815123184259153,0.0
TEF,11,289,18350,7842,1.0,714.0,0.072047,0.030036,0.004195,-0.006055,2000-03-28,2001-09-20,541,88,77,0.02884031188301758,0.0
TEF,11,350,18350,5214,1.0,635.0,0.072047,0.096539,0.004195,0.012795,2000-01-19,2001-08-22,581,91,118,0.03833003063362305,0.0
TEF,11,403,18350,886,1.0,1.0,0.072047,0.09425599999999999,0.004195,-0.0032450000000000005,2000-01-19,2001-09-20,610,99,125,0.5059981963562891,0.0
TEF,12,17,18348,18333,1.0,608.0,0.0020329999999999997,0.001704,-0.004249,-0.0023710000000000003,2000-06-20,2004-03-12,1361,421,434,0.7171203393933729,0.0
TEF,12,20,18348,18322,1.0,1.0,0.0020329999999999997,0.004181,-0.004249,-0.009537,2000-06-20,2004-03-12,1361,421,585,0.01778355298728923,0.0
TEF,12,21,18348,18321,1.0,1.0,0.0020329999999999997,0.018418,-0.004249,-0.004526,2000-06-20,2004-03-12,1361,421,622,0.058718172269572634,0.0
TEF,12,22,18348,18317,1.0,1.0,0.0020329999999999997,0.006823,-0.004249,-0.0023710000000000003,2000-06-20,2003-06-12,1087,415,158,0.014944244083690132,-0.047557807561544686
TEF,12,40,18348,18187,1.0,1.0,0.0020329999999999997,0.000653,-0.004249,0.002448,2000-06-20,2004-03-12,1361,421,46,0.01675182720418751,0.0
TEF,12,55,18348,18086,1.0,599.0,0.0020329999999999997,0.005337,-0.004249,-0.002768,2000-11-03,2004-03-12,1225,357,58,0.01923641001850739,0.0
TEF,12,59,18348,18003,1.0,599.0,0.0020329999999999997,0.012754000000000001,-0.004249,-0.004963,2000-06-20,2004-03-12,1361,421,78,0.021956730099549102,0.021485480546588047
TEF,12,60,18348,17930,1.0,631.0,0.0020329999999999997,0.012934000000000001,-0.004249,-0.00399,2000-06-20,2004-03-12,1361,421,59,0.0,0.01924872916225569
TEF,12,61,18348,17837,1.0,599.0,0.0020329999999999997,0.0034909999999999997,-0.004249,0.000805,2002-01-07,2004-03-12,795,104,25,0.05743824615160807,0.041746824785547115
TEF,12,80,18348,17022,1.0,599.0,0.0020329999999999997,0.025679,-0.004249,-0.014374000000000001,2001-11-30,2004-03-12,833,123,63,0.048664273895098434,0.0508416145775616
