TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
TEF,1,2,18433,18428,2053.0,2053.0,0.0008900000000000002,0.0017829999999999999,-0.00122,-0.004324000000000001,2000-09-19,2006-02-21,1981,42,58,0.05015716401345397,0.0
TEF,1,3,18433,18427,2053.0,2053.0,0.0008900000000000002,0.001397,-0.00122,-0.0013880000000000001,2000-09-19,2007-05-22,2436,56,74,0.07351094259935617,0.0
TEF,1,8,18433,18386,2053.0,852.0,0.0008900000000000002,0.009561,-0.00122,-0.003722,2005-05-03,2007-05-22,749,23,103,0.011721496752372228,0.0
TEF,1,68,18433,17655,2053.0,673.0,0.0008900000000000002,0.004518,-0.00122,0.000101,2000-09-19,2003-06-10,994,22,64,0.0,-0.01772143562049884
TEF,1,102,18433,16157,2053.0,,0.0008900000000000002,0.001286,-0.00122,0.002101,2000-09-19,2004-03-31,1289,24,44,0.0,0.00843619025553223
TEF,1,234,18433,10510,2053.0,712.0,0.0008900000000000002,0.066259,-0.00122,-0.012512,2002-07-01,2007-05-22,1786,46,279,0.0063977212767585365,0.0
TEF,1,268,18433,8684,2053.0,708.0,0.0008900000000000002,0.025366,-0.00122,-0.004605,2000-09-19,2005-09-06,1813,36,104,0.003973579653718852,0.0
TEF,1,274,18433,8390,2053.0,691.0,0.0008900000000000002,0.003274,-0.00122,-0.004217,2000-09-19,2006-06-06,2086,49,43,0.0,0.006792481312654178
TEF,1,285,18433,7944,2053.0,523.0,0.0008900000000000002,0.015043,-0.00122,-0.000349,2000-09-19,2006-11-24,2257,52,39,0.0025304523478649602,0.0
TEF,1,303,18433,6873,2053.0,,0.0008900000000000002,0.009791,-0.00122,0.001532,2001-12-11,2005-01-12,1128,25,37,0.0,0.011696612986420937
TEF,2,3,18428,18427,2053.0,2053.0,0.0017829999999999999,0.001397,-0.004324000000000001,-0.0013880000000000001,2000-02-09,2006-02-21,2204,65,90,0.0599766894484743,0.0
TEF,2,4,18428,18425,2053.0,,0.0017829999999999999,0.006174,-0.004324000000000001,0.022085,2000-02-09,2001-11-13,643,21,38,0.01653017814529134,0.0
TEF,2,67,18428,17709,2053.0,631.0,0.0017829999999999999,0.010969,-0.004324000000000001,-0.0043560000000000005,2000-03-22,2006-02-21,2162,62,97,0.003863373159141431,0.0
TEF,2,155,18428,15158,2053.0,697.0,0.0017829999999999999,0.011343,-0.004324000000000001,0.0004940000000000001,2000-05-09,2006-02-15,2108,61,90,0.0,0.008402918954899028
TEF,2,159,18428,15110,2053.0,697.0,0.0017829999999999999,0.008579999999999999,-0.004324000000000001,-0.005546,2000-04-17,2002-09-24,890,28,96,0.010392463790912116,0.0
TEF,2,167,18428,14910,2053.0,340.0,0.0017829999999999999,0.016727000000000002,-0.004324000000000001,-0.0027429999999999998,2001-07-05,2006-02-21,1692,49,64,0.006141159197557098,0.0
TEF,2,177,18428,14656,2053.0,,0.0017829999999999999,0.005737,-0.004324000000000001,-0.001385,2000-02-09,2006-02-21,2204,65,42,0.0026517949132650108,0.0
TEF,2,250,18428,10157,2053.0,671.0,0.0017829999999999999,0.0024289999999999997,-0.004324000000000001,0.002297,2000-11-28,2006-02-21,1911,54,42,0.003519088056919675,0.0
TEF,2,388,18428,2343,2053.0,714.0,0.0017829999999999999,0.0024760000000000003,-0.004324000000000001,0.001501,2001-08-08,2006-02-21,1658,48,71,0.004351750929945995,0.0
TEF,3,4,18427,18425,2053.0,,0.001397,0.006174,-0.0013880000000000001,0.022085,2000-02-09,2001-11-13,643,41,38,0.06529677588872182,0.0
TEF,3,8,18427,18386,2053.0,852.0,0.001397,0.009561,-0.0013880000000000001,-0.003722,2005-05-03,2007-05-22,749,25,103,0.012347733279850495,0.0
TEF,3,38,18427,18198,2053.0,1.0,0.001397,0.004497999999999999,-0.0013880000000000001,-0.008235,2000-02-09,2007-05-22,2659,104,55,0.002937104890872812,0.0
TEF,3,39,18427,18195,2053.0,2008.0,0.001397,0.004995,-0.0013880000000000001,-0.000634,2000-02-09,2003-10-30,1359,68,99,0.009357903820082331,0.0
TEF,3,40,18427,18187,2053.0,1.0,0.001397,0.000653,-0.0013880000000000001,0.002448,2000-02-09,2005-06-21,1959,79,54,0.00796126351099668,0.0
TEF,3,64,18427,17831,2053.0,114.0,0.001397,0.014202000000000001,-0.0013880000000000001,-0.0036420000000000003,2000-04-27,2005-10-31,2013,73,57,0.004832623020754644,0.0
TEF,3,65,18427,17828,2053.0,114.0,0.001397,0.010499,-0.0013880000000000001,-0.003123,2000-04-27,2005-09-23,1975,71,50,0.0038370976792646014,0.0
TEF,3,67,18427,17709,2053.0,631.0,0.001397,0.010969,-0.0013880000000000001,-0.0043560000000000005,2000-03-22,2006-05-09,2239,83,99,0.005347778492537679,0.0
TEF,3,70,18427,17550,2053.0,709.0,0.001397,0.010752,-0.0013880000000000001,-0.01215,2000-04-14,2006-09-01,2331,89,55,0.003713214987416393,0.0
TEF,3,75,18427,17378,2053.0,789.0,0.001397,0.005939,-0.0013880000000000001,-0.00028199999999999997,2000-02-09,2007-05-22,2659,104,88,0.0038750185219251602,0.0
TEF,3,100,18427,16178,2053.0,697.0,0.001397,0.012575,-0.0013880000000000001,-3.5e-05,2000-06-21,2005-07-21,1856,62,58,0.004298687511239924,0.0
TEF,3,114,18427,15824,2053.0,1.0,0.001397,0.008282,-0.0013880000000000001,-0.0013859999999999999,2000-06-05,2007-05-14,2534,86,71,0.005195585165000931,0.0
TEF,3,124,18427,15666,2053.0,599.0,0.001397,0.009598,-0.0013880000000000001,-0.008264,2000-04-03,2004-06-07,1526,59,51,0.0,-0.011499300785583371
TEF,3,137,18427,15427,2053.0,,0.001397,0.008781,-0.0013880000000000001,0.0015539999999999998,2000-02-09,2002-12-04,1029,54,38,0.0068267929394307605,0.0
TEF,3,250,18427,10157,2053.0,671.0,0.001397,0.0024289999999999997,-0.0013880000000000001,0.002297,2000-11-28,2007-05-22,2366,74,46,0.0029532804119588355,0.0
TEF,3,262,18427,9060,2053.0,718.0,0.001397,0.002325,-0.0013880000000000001,-0.011781999999999999,2000-02-09,2005-11-18,2109,86,218,0.005118775148097391,0.0
TEF,3,263,18427,8957,2053.0,523.0,0.001397,0.008854,-0.0013880000000000001,-0.0038350000000000003,2000-04-03,2007-05-22,2605,93,64,0.0030065650814631232,0.0
TEF,3,268,18427,8684,2053.0,708.0,0.001397,0.025366,-0.0013880000000000001,-0.004605,2000-06-27,2005-09-06,1897,63,112,0.006891240003558844,0.0
TEF,3,270,18427,8570,2053.0,1.0,0.001397,0.006411,-0.0013880000000000001,-0.007958,2000-05-17,2006-02-17,2102,78,100,0.006805796511628629,0.0
TEF,3,326,18427,5991,2053.0,523.0,0.001397,0.015463,-0.0013880000000000001,-0.004213000000000001,2000-02-09,2007-05-22,2659,104,116,0.0,-0.007636428385743592
TEF,3,327,18427,5981,2053.0,853.0,0.001397,0.002426,-0.0013880000000000001,0.006792,2000-06-02,2003-01-23,965,42,53,0.008745571918315152,0.0
TEF,3,334,18427,5686,2053.0,673.0,0.001397,0.000202,-0.0013880000000000001,0.005176,2000-02-09,2007-04-25,2632,102,36,0.0035595821651105007,0.0
