TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
ZEL,1,2,18433,18427,2053.0,2053.0,0.002873,0.0059960000000000005,-0.003404,0.003543,2002-03-05,2007-04-18,1870,54,66,0.09777984244153592,0.0
ZEL,1,8,18433,18228,2053.0,1656.0,0.002873,0.007396,-0.003404,-0.001239,2002-03-05,2007-04-18,1870,54,164,0.009447484069402805,-0.012501492581227257
ZEL,1,15,18433,15858,2053.0,599.0,0.002873,0.0025800000000000003,-0.003404,-0.003922,2002-03-05,2007-04-18,1870,54,62,0.003821156909773993,0.0
ZEL,1,20,18433,14968,2053.0,,0.002873,0.001947,-0.003404,0.005461,2002-03-05,2007-04-18,1870,54,21,0.0,0.006004942165398118
ZEL,1,30,18433,11716,2053.0,1.0,0.002873,0.002989,-0.003404,0.004173,2004-10-01,2007-02-15,867,30,64,0.012222750539365012,0.0
ZEL,1,39,18433,10157,2053.0,,0.002873,0.009487,-0.003404,-0.000798,2005-02-10,2007-04-18,797,29,22,0.009869913452469785,0.0
ZEL,1,70,18433,1262,2053.0,,0.002873,0.023846,-0.003404,-0.002764,2004-10-06,2007-04-18,924,35,44,0.009645369068120736,0.0
ZEL,2,8,18427,18228,2053.0,1656.0,0.0059960000000000005,0.007396,0.003543,-0.001239,2001-11-22,2007-04-18,1973,70,164,0.005689171131168178,0.0
ZEL,2,11,18427,16942,2053.0,,0.0059960000000000005,0.003877,0.003543,-0.014133,2001-11-22,2004-04-01,861,28,32,0.009113024239278022,0.0
ZEL,2,26,18427,13342,2053.0,1656.0,0.0059960000000000005,0.030506,0.003543,-0.033836,2006-01-16,2007-03-08,416,21,114,0.02502187307733864,0.0
ZEL,2,27,18427,13341,2053.0,1656.0,0.0059960000000000005,0.027716,0.003543,-0.042962,2006-01-16,2007-03-08,416,21,111,0.024261893137726538,0.0
ZEL,2,30,18427,11716,2053.0,1.0,0.0059960000000000005,0.002989,0.003543,0.004173,2004-10-01,2007-02-15,867,35,64,0.009821629197874158,0.0
ZEL,2,39,18427,10157,2053.0,,0.0059960000000000005,0.009487,0.003543,-0.000798,2005-02-10,2007-04-18,797,33,22,0.009081734008454254,0.0
ZEL,2,51,18427,6873,2053.0,707.0,0.0059960000000000005,0.006991,0.003543,-0.001651,2002-01-04,2007-04-18,1930,69,45,0.0,0.011873568640272638
ZEL,2,60,18427,4067,2053.0,1.0,0.0059960000000000005,0.005437,0.003543,-0.00172,2002-01-17,2007-04-18,1917,69,47,0.003530870398963544,0.0
ZEL,3,52,18333,6491,,635.0,0.001234,0.009904,0.003166,0.000784,2000-11-03,2006-05-29,2033,32,84,0.0,0.006450574786800359
ZEL,4,6,18322,18317,1.0,1.0,0.006979000000000001,0.006318,-0.002059,-0.012797,2000-09-08,2002-03-06,544,92,50,0.033812970208524966,0.0
